"","source","rise1.3","rise2.3","Location","SubjectPool","Setting","Pencil","tempt","lkl"
"58","unswonline",NA,10,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,10
"59","unswonline",2,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,2
"60","unswonline",8,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,8
"61","unswonline",NA,5,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,5
"62","unswonline",6,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,6
"63","unswonline",5,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,5
"64","unswonline",NA,2,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,2
"65","unswonline",NA,1,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,1
"66","unswonline",3,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,3
"67","unswonline",8,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,8
"68","unswonline",2,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,2
"69","unswonline",NA,6,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,6
"70","unswonline",7,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,7
"71","unswonline",7,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,7
"72","unswonline",NA,3,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,3
"73","unswonline",NA,1,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,1
"74","unswonline",NA,2,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,2
"75","unswonline",NA,2,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,2
"76","unswonline",NA,2,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,2
"77","unswonline",NA,6,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,6
"78","unswonline",NA,6,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,6
"79","unswonline",3,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,3
"80","unswonline",10,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,10
"81","unswonline",NA,1,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,1
"82","unswonline",6,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,6
"83","unswonline",4,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,4
"84","unswonline",NA,1,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,1
"85","unswonline",NA,6,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,6
"86","unswonline",3,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,3
"87","unswonline",NA,5,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,5
"88","unswonline",6,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,6
"89","unswonline",1,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1
"90","unswonline",NA,1,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,1
"91","unswonline",5,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,5
"92","unswonline",8,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,8
"93","unswonline",5,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,5
"94","unswonline",3,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,3
"95","unswonline",3,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,3
"96","unswonline",6,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,6
"97","unswonline",1,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1
"98","carleton",NA,1,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,1
"99","carleton",NA,6,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,6
"100","carleton",NA,4,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,4
"101","carleton",7,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,7
"102","carleton",2,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,2
"103","carleton",NA,7,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,7
"104","carleton",2,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,2
"105","carleton",NA,1,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,1
"106","carleton",NA,1,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,1
"107","carleton",NA,3,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,3
"108","carleton",7,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,7
"109","carleton",7,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,7
"110","carleton",3,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,3
"111","carleton",NA,4,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,4
"112","carleton",NA,2,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,2
"113","carleton",1,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1
"114","carleton",NA,5,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,5
"115","carleton",3,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,3
"116","carleton",3,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,3
"117","carleton",2,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,2
"118","carleton",2,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,2
"119","carleton",NA,9,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,9
"120","carleton",NA,4,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,4
"121","carleton",5,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,5
"122","carleton",7,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,7
"123","carleton",NA,7,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,7
"124","carleton",3,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,3
"125","carleton",NA,7,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,7
"126","carleton",NA,5,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,5
"127","carleton",NA,3,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,3
"128","carleton",NA,5,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,5
"129","carleton",NA,1,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,1
"130","carleton",NA,8,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,8
"131","carleton",2,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,2
"132","carleton",NA,1,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,1
"133","carleton",5,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,5
"134","carleton",NA,1,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,1
"135","carleton",NA,5,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,5
"136","carleton",NA,5,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,5
"137","carleton",NA,3,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,3
"138","carleton",2,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,2
"139","carleton",NA,4,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,4
"140","carleton",3,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,3
"141","carleton",8,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,8
"142","carleton",NA,4,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,4
"143","carleton",NA,4,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,4
"144","carleton",4,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,4
"145","carleton",NA,9,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,9
"146","carleton",2,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,2
"147","carleton",1,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1
"148","carleton",NA,2,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,2
"149","carleton",6,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,6
"150","carleton",NA,5,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,5
"151","carleton",NA,3,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,3
"152","carleton",4,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,4
"153","carleton",NA,7,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,7
"154","carleton",1,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1
"155","carleton",5,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,5
"156","carleton",NA,3,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,3
"157","carleton",6,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,6
"158","carleton",7,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,7
"159","carleton",10,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,10
"160","carleton",NA,2,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,2
"161","carleton",5,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,5
"162","carleton",5,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,5
"163","carleton",NA,1,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,1
"164","carleton",2,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,2
"165","carleton",5,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,5
"166","carleton",NA,6,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,6
"167","carleton",NA,1,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,1
"168","carleton",1,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1
"169","carleton",NA,6,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,6
"170","carleton",NA,5,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,5
"171","carleton",NA,1,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,1
"172","carleton",8,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,8
"173","carleton",3,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,3
"175","carleton",NA,1,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,1
"176","carleton",3,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,3
"177","carleton",NA,5,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,5
"178","carleton",2,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,2
"179","carleton",NA,7,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,7
"180","carleton",NA,3,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,3
"181","carleton",10,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,10
"182","carleton",NA,3,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,3
"183","carleton",NA,5,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,5
"184","carleton",5,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,5
"185","carleton",NA,1,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,1
"186","carleton",NA,2,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,2
"187","carleton",NA,1,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,1
"188","carleton",3,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,3
"189","carleton",NA,5,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,5
"190","carleton",7,NA,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,7
"191","carleton",NA,1,"Carleton University, Ottawa, Canada","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,1
