"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","Q12","lkl1","imp1","bad1","lkl2","endnum1","eff.split1","count.hard1","count.eff1","imp2","bad2","lkl3","endnum2","eff.split2","count.hard2","count.eff2","imp3","bad3","lkl4","imp4","bad4","Q6...Topics","had.read","end.num","load","eff.split","badness","importance","count.eff","count.hard"
"29","11/15/16 15:22","11/15/16 15:28","IP Address","157.201.123.126","100","316","TRUE","11/15/16 15:28","R_2dZuRxcJWNqzcd9","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","3","10","9","","","","","","","","","","","","","","","","","","",0,NA,0,NA,9,10,NA,NA
"30","11/15/16 15:26","11/15/16 15:30","IP Address","157.201.100.154","100","240","TRUE","11/15/16 15:30","R_1CJaYuEjHfZ9GFn","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","1","540","3","8","7","10","8","","","","","","","","","","","",1,540,1,3,8,10,7,8
"31","11/15/16 15:32","11/15/16 15:37","IP Address","157.201.100.154","100","305","TRUE","11/15/16 15:37","R_1LUnd1pHw0AwxAu","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","1","2","3","","","","","","","","","","","","","","","","","","",0,NA,0,NA,3,2,NA,NA
"32","11/15/16 15:28","11/15/16 15:40","IP Address","157.201.123.126","100","691","TRUE","11/15/16 15:40","R_11gvHvZ0Ik90F9L","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","","","","","","","","5","4","4","",1,NA,0,NA,4,4,NA,NA
"33","11/15/16 15:37","11/15/16 15:52","IP Address","157.201.100.154","100","874","TRUE","11/15/16 15:52","R_SVRm0IU2HtCF8Fb","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","5","558","3","10","10","6","8","","","","",0,558,1,3,8,6,10,10
"34","11/15/16 15:41","11/15/16 15:57","IP Address","157.201.123.126","100","946","TRUE","11/15/16 15:57","R_vqolbzBJL189w1X","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","","","","","","","","3","7","3","",1,NA,0,NA,3,7,NA,NA
"35","11/15/16 15:57","11/15/16 16:17","IP Address","157.201.123.126","100","1195","TRUE","11/15/16 16:17","R_1l6SVr5UngbverG","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","7","5","8","","","","","","","","","","","","","","","","","","",0,NA,0,NA,8,5,NA,NA
"36","11/15/16 15:52","11/15/16 16:21","IP Address","157.201.100.154","100","1683","TRUE","11/15/16 16:21","R_2UaPnxHrFmdX74u","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","4","522","4","6","6","7","5","","","","",0,522,1,4,5,7,6,6
"37","11/15/16 16:18","11/15/16 16:23","IP Address","157.201.123.126","100","323","TRUE","11/15/16 16:23","R_2tlK3vaRXT92JRY","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","2","843","1","10","10","9","9","","","","","","","","","","","",1,843,1,1,9,9,10,10
"38","11/15/16 16:21","11/15/16 16:31","IP Address","157.201.100.154","100","592","TRUE","11/15/16 16:31","R_3HiUAfogziWdDIu","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","2","525","3","5","5","8","5","","","","",0,525,1,3,5,8,5,5
"39","11/15/16 16:34","11/15/16 16:38","IP Address","157.201.123.126","100","282","TRUE","11/15/16 16:38","R_1j8qLQ8j30Cqswq","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","5","537","5","8","6","5","8","","","","","","","","","","","",1,537,1,5,8,5,6,8
"40","11/15/16 16:32","11/15/16 16:42","IP Address","157.201.100.154","100","600","TRUE","11/15/16 16:42","R_32WaLUAzFuGDMEV","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","1","7","4","","","","","","","","","","","","","","","","","","",0,NA,0,NA,4,7,NA,NA
"41","11/15/16 16:39","11/15/16 16:44","IP Address","157.201.123.126","100","306","TRUE","11/15/16 16:44","R_3lQXZPym6pfizWk","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","","","","","","","","2","9","1","",1,NA,0,NA,1,9,NA,NA
"42","11/15/16 16:43","11/15/16 16:48","IP Address","157.201.100.154","100","318","TRUE","11/15/16 16:48","R_1gAr73AJpuHms3O","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","3","540","3","3","9","8","7","","","","",0,540,1,3,7,8,9,3
"43","11/15/16 16:49","11/15/16 16:55","IP Address","157.201.100.154","100","385","TRUE","11/15/16 16:55","R_27Uw97OtCrDrHPC","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","2","5","8","","","","","","","","","","","","","","","","","","",0,NA,0,NA,8,5,NA,NA
"44","11/15/16 18:28","11/15/16 18:31","IP Address","157.201.124.167","100","179","TRUE","11/15/16 18:31","R_1jerZOlHlabxBwO","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","","","","","","","","2","9","10","",1,NA,0,NA,10,9,NA,NA
"45","11/15/16 18:29","11/15/16 18:34","IP Address","157.201.107.206","100","288","TRUE","11/15/16 18:34","R_2ZCYruSOOaoOdL1","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","6","527","4","5","4","9","7","","","","","","","","","","","",1,527,1,4,7,9,4,5
"46","11/15/16 18:32","11/15/16 18:35","IP Address","157.201.124.167","100","217","TRUE","11/15/16 18:35","R_2xy3mm7DiKcfihz","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","1","8","7","","","","","","","","","","","","","","","","","","",0,NA,0,NA,7,8,NA,NA
"47","11/15/16 18:34","11/15/16 18:39","IP Address","157.201.107.206","100","252","TRUE","11/15/16 18:39","R_2zpzT1BkpOBpyFQ","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","4","270","4","10","10","10","7","","","","","","","","","","","",1,270,1,4,7,10,10,10
"48","11/15/16 18:36","11/15/16 18:54","IP Address","157.201.124.167","100","1048","TRUE","11/15/16 18:54","R_1isduzyE4gQBeyG","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","","","","","","","","9","7","9","",1,NA,0,NA,9,7,NA,NA
"49","11/15/16 18:39","11/15/16 18:56","IP Address","157.201.100.210","100","1000","TRUE","11/15/16 18:56","R_2QMaGnszkcmEH8A","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","2","540","2","9","9","9","9","","","","",0,540,1,2,9,9,9,9
"50","11/15/16 18:58","11/15/16 19:02","IP Address","157.201.100.210","100","229","TRUE","11/15/16 19:02","R_1Ny2CKmbYxsBmnn","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","","","","","","","","1","7","7","",1,NA,0,NA,7,7,NA,NA
"51","11/15/16 18:54","11/15/16 19:06","IP Address","157.201.124.167","100","726","TRUE","11/15/16 19:06","R_10IflGb9QBMRyLF","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","5","549","2","7","8","6","1","","","","","","","","","","","",1,549,1,2,1,6,8,7
"52","11/15/16 19:07","11/15/16 20:09","IP Address","157.201.124.167","100","3717","TRUE","11/15/16 20:09","R_3dQzVJVTum3FOdc","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","8","6","9","","","","","","","","","","","","","","","","","","",0,NA,0,NA,9,6,NA,NA
"53","11/15/16 20:10","11/15/16 20:16","IP Address","157.201.124.167","100","336","TRUE","11/15/16 20:16","R_3ixUEgUHATzp7OQ","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","5","534","5","6","9","7","8","","","","",0,534,1,5,8,7,9,6
"54","11/15/16 19:03","11/15/16 20:20","IP Address","157.201.109.23","100","4611","TRUE","11/15/16 20:20","R_UyZYFVyGFV3hvoZ","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","","","","","","","","2","7","9","",1,NA,0,NA,9,7,NA,NA
"55","11/15/16 20:17","11/15/16 20:29","IP Address","157.201.124.167","100","692","TRUE","11/15/16 20:29","R_C1E5wIRNWMRlvxL","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","6","4","8","","","","","","","","","","","","","","","","","","",0,NA,0,NA,8,4,NA,NA
"56","11/16/16 15:12","11/16/16 15:17","IP Address","157.201.100.192","100","294","TRUE","11/16/16 15:17","R_d1fDI1LwiDMcbN7","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","1","523","2","9","9","1","3","","","","",0,523,1,2,3,1,9,9
"57","11/16/16 15:17","11/16/16 15:22","IP Address","157.201.118.229","100","309","TRUE","11/16/16 15:22","R_3lGHDOW1wBmbiTj","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","3","531","2","9","8","8","3","","","","","","","","","","","",1,531,1,2,3,8,8,9
"58","11/16/16 15:22","11/16/16 15:27","IP Address","157.201.118.229","100","282","TRUE","11/16/16 15:27","R_2aUYwXZTDVueZ2O","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","4","10","10","","","","","","","","","","","","","","","","","","",0,NA,0,NA,10,10,NA,NA
"59","11/16/16 15:22","11/16/16 15:45","IP Address","157.201.117.238","100","1378","TRUE","11/16/16 15:45","R_Ap6YDGvK89y0x7r","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","4","529","1","8","8","9","7","","","","",0,529,1,1,7,9,8,8
"60","11/16/16 15:28","11/16/16 15:46","IP Address","157.201.118.229","100","1072","TRUE","11/16/16 15:46","R_2z7nhJqzHTL7L2R","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","","","","","","","","1","6","7","",1,NA,0,NA,7,6,NA,NA
"61","11/16/16 15:47","11/16/16 15:58","IP Address","157.201.118.229","100","706","TRUE","11/16/16 15:58","R_tWMHMWuda33C3zH","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","1","4","5","","","","","","","","","","","","","","","","","","",0,NA,0,NA,5,4,NA,NA
"62","11/16/16 15:46","11/16/16 15:59","IP Address","157.201.117.238","100","822","TRUE","11/16/16 15:59","R_u2m1xIA8p8s9kpX","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","7","529","4","7","8","8","7","","","","","","","","","","","",1,529,1,4,7,8,8,7
"63","11/16/16 16:00","11/16/16 16:11","IP Address","157.201.117.238","100","672","TRUE","11/16/16 16:11","R_2qyM1WtpuAkCAGV","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","1","522","4","6","7","9","8","","","","","","","","","","","",1,522,1,4,8,9,7,6
"64","11/16/16 16:00","11/16/16 16:27","IP Address","157.201.118.229","100","1672","TRUE","11/16/16 16:27","R_2QMV9tDvqS3k3DL","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","","","","","","","","2","9","10","",1,NA,0,NA,10,9,NA,NA
"65","11/16/16 16:12","11/16/16 16:41","IP Address","157.201.117.238","100","1765","TRUE","11/16/16 16:41","R_12z2buufOTbjoJ7","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","7","530","5","9","9","8","10","","","","",0,530,1,5,10,8,9,9
"66","11/16/16 16:28","11/16/16 16:42","IP Address","157.201.118.229","100","861","TRUE","11/16/16 16:42","R_bPjx2Kq3zt8kizf","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","3","537","5","8","8","10","8","","","","",0,537,1,5,8,10,8,8
"67","11/16/16 16:42","11/16/16 16:47","IP Address","157.201.117.238","100","308","TRUE","11/16/16 16:47","R_1rwTAz7H4sPRrND","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","1","7","8","","","","","","","","","","","","","","","","","","",0,NA,0,NA,8,7,NA,NA
"68","11/16/16 16:43","11/16/16 16:49","IP Address","157.201.118.229","100","361","TRUE","11/16/16 16:49","R_zTOfP7FMNyICOZP","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","","","","","","","","2","7","5","",1,NA,0,NA,5,7,NA,NA
"69","11/16/16 16:52","11/16/16 17:00","IP Address","157.201.118.229","100","480","TRUE","11/16/16 17:00","R_2WCjFJMXFUTD0ST","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","5","526","5","7","7","3","7","","","","","","","","","","","",1,526,1,5,7,3,7,7
"70","11/16/16 17:00","11/16/16 17:05","IP Address","157.201.118.229","100","256","TRUE","11/16/16 17:05","R_3QQ9Id8wpcRHmhl","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","4","5","8","","","","","","","","","","","","","","","","","","",0,NA,0,NA,8,5,NA,NA
"71","11/16/16 18:27","11/16/16 18:32","IP Address","157.201.118.136","100","322","TRUE","11/16/16 18:32","R_1g6hSfa7WAaI3tu","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","3","547","2","10","10","9","2","","","","","","","","","","","",1,547,1,2,2,9,10,10
"72","11/16/16 18:33","11/16/16 18:34","IP Address","157.201.118.136","100","102","TRUE","11/16/16 18:34","R_21p2XMOSEVmm33u","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","","","","","","","","1","10","10","",1,NA,0,NA,10,10,NA,NA
"73","11/16/16 18:29","11/16/16 18:35","IP Address","157.201.90.208","100","382","TRUE","11/16/16 18:35","R_2X0RVXwvEeKQfhi","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","1","555","2","10","9","6","8","","","","",0,555,1,2,8,6,9,10
"74","11/16/16 18:36","11/16/16 18:48","IP Address","157.201.90.208","100","732","TRUE","11/16/16 18:48","R_3p6lpn6FwBaV4LW","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","1","7","7","","","","","","","","","","","","","","","","","","",0,NA,0,NA,7,7,NA,NA
"75","11/16/16 18:35","11/16/16 18:48","IP Address","157.201.118.136","100","793","TRUE","11/16/16 18:48","R_sHCjBJ8ZZm7YA4V","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","3","554","2","10","9","10","9","","","","","","","","","","","",1,554,1,2,9,10,9,10
"76","11/16/16 18:49","11/16/16 18:53","IP Address","157.201.118.136","100","221","TRUE","11/16/16 18:53","R_Z8D54ZmTWEuptrX","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","","","","","","","","2","5","7","",1,NA,0,NA,7,5,NA,NA
"77","11/16/16 18:54","11/16/16 18:58","IP Address","157.201.118.136","100","291","TRUE","11/16/16 18:58","R_3isY1JQSl1oXplG","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","6","543","2","7","9","10","8","","","","",0,543,1,2,8,10,9,7
"78","11/16/16 18:59","11/16/16 19:08","IP Address","157.201.118.136","100","551","TRUE","11/16/16 19:08","R_3Rq2jn516YuBeMy","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","1","7","9","","","","","","","","","","","","","","","","","","",0,NA,0,NA,9,7,NA,NA
"79","11/16/16 19:09","11/16/16 20:04","IP Address","157.201.118.136","100","3295","TRUE","11/16/16 20:04","R_p3OwislPcxDxXvr","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","3","552","2","4","7","5","7","","","","",0,552,1,2,7,5,7,4
"80","11/16/16 20:04","11/16/16 20:22","IP Address","157.201.118.136","100","1075","TRUE","11/16/16 20:22","R_31vfaiCSCDBBsga","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","6","559","1","7","9","10","6","","","","","","","","","","","",1,559,1,1,6,10,9,7
"81","11/17/16 15:17","11/17/16 15:23","IP Address","157.201.97.163","100","383","TRUE","11/17/16 15:23","R_12hfNFqaiZf3nHf","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","","","","","","","","2","7","8","",1,NA,0,NA,8,7,NA,NA
"82","11/17/16 15:24","11/17/16 15:26","IP Address","157.201.97.163","100","97","TRUE","11/17/16 15:26","R_3D8aN5J2Cl4HRm0","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","","","","","","","","4","7","7","",1,NA,0,NA,7,7,NA,NA
"83","11/17/16 15:18","11/17/16 15:28","IP Address","157.201.96.178","100","618","TRUE","11/17/16 15:28","R_25Mi3BcfZcDgra9","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","2","563","1","10","10","3","5","","","","","","","","","","","",1,563,1,1,5,3,10,10
"84","11/17/16 15:29","11/17/16 15:37","IP Address","157.201.96.178","100","468","TRUE","11/17/16 15:37","R_3Emx8GOlaJeBcPt","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","5","2","10","","","","","","","","","","","","","","","","","","",0,NA,0,NA,10,2,NA,NA
"85","11/17/16 15:28","11/17/16 15:38","IP Address","157.201.97.163","100","581","TRUE","11/17/16 15:38","R_2rB0syryWT05qj3","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","6","517","2","8","7","8","7","","","","",0,517,1,2,7,8,7,8
"86","11/17/16 15:37","11/17/16 15:46","IP Address","157.201.96.178","100","519","TRUE","11/17/16 15:46","R_3KMH19qRfO9X9vL","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","3","552","1","9","9","5","7","","","","",0,552,1,1,7,5,9,9
"87","11/17/16 15:41","11/17/16 15:47","IP Address","157.201.97.163","100","313","TRUE","11/17/16 15:47","R_PIfMhbI7jqRfKUN","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","8","537","0","10","9","10","8","","","","","","","","","","","",1,537,1,0,8,10,9,10
"88","11/17/16 15:47","11/17/16 15:50","IP Address","157.201.96.178","100","201","TRUE","11/17/16 15:50","R_1dFgrqd5MkPOjFv","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","","","","","","","","7","7","2","",1,NA,0,NA,2,7,NA,NA
"89","11/17/16 15:51","11/17/16 16:01","IP Address","157.201.96.178","100","586","TRUE","11/17/16 16:01","R_21zBUZaXZxwDNyS","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","5","7","7","","","","","","","","","","","","","","","","","","",0,NA,0,NA,7,7,NA,NA
"90","11/17/16 15:47","11/17/16 16:01","IP Address","157.201.97.163","100","825","TRUE","11/17/16 16:01","R_2Qll4pfaSVYfm4p","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","1","3","7","","","","","","","","","","","","","","","","","","",0,NA,0,NA,7,3,NA,NA
"91","11/17/16 16:02","11/17/16 16:30","IP Address","157.201.114.1","100","1714","TRUE","11/17/16 16:30","R_YWDdvm8skSyb453","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","","","","","","","","8","10","10","",1,NA,0,NA,10,10,NA,NA
"92","11/17/16 16:02","11/17/16 16:32","IP Address","157.201.97.163","100","1800","TRUE","11/17/16 16:32","R_qJizcpCGByGDrz3","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","6","60","3","9","8","10","9","","","","","","","","","","","",1,60,1,3,9,10,8,9
