V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,load,had.read,text,L1.R1.scenario_1,L1.R0.scenario_1,Q28,Q29_1,Q21_1,Q22_1,L0.R1.text_1,L0.R0.text_1,Q26_1,Q14_1,text.thanks,LocationLatitude,LocationLongitude,LocationAccuracy
R_3PNZBC3xEmYVWEk,Default Response Set,Anonymous,,,134.58.253.57,0,2/14/17 14:03,2/14/17 14:06,1,1,1,1,3,,534,5,8,8,,,9,7,1,"50,879,592,895,508","47,008,972,167,969",-1
R_2uCId7K9YUgYgId,Default Response Set,Anonymous,,,134.58.253.57,0,2/14/17 15:02,2/14/17 15:05,1,1,0,1,,3,546,3,9,8,,,5,4,1,"50,879,592,895,508","47,008,972,167,969",-1
R_3FJqHbbJQTQaGxl,Default Response Set,Anonymous,,,134.58.253.57,0,2/14/17 15:04,2/14/17 15:06,1,0,0,,,,,,,,,2,5,8,1,"50,879,592,895,508","47,008,972,167,969",-1
R_1rfyocbuzEXME3X,Default Response Set,Anonymous,,,134.58.253.57,0,2/15/17 9:00,2/15/17 9:01,1,0,0,,,,,,,,,2,4,5,1,"50,879,592,895,508","47,008,972,167,969",-1
R_12ma5bnK35S2lui,Default Response Set,Anonymous,,,134.58.253.57,0,2/15/17 9:00,2/15/17 9:04,1,1,0,1,,4,540,6,6,6,,,4,7,1,"50,879,592,895,508","47,008,972,167,969",-1
R_3kHrjFrGIquNNNC,Default Response Set,Anonymous,,,134.58.253.57,0,2/15/17 9:59,2/15/17 10:02,1,1,1,1,5,,543,2,3,5,,,10,9,1,"50,879,592,895,508","47,008,972,167,969",-1
R_1mlbupF7I8oQbfd,Default Response Set,Anonymous,,,134.58.253.57,0,2/15/17 10:07,2/15/17 10:08,1,0,1,,,,,,,,1,,7,5,1,"50,879,592,895,508","47,008,972,167,969",-1
R_1hDLwYjoW9Pl1M1,Default Response Set,Anonymous,,,134.58.253.57,0,2/15/17 10:59,2/15/17 11:03,1,1,0,1,,1,491,4,9,9,,,9,9,1,"50,879,592,895,508","47,008,972,167,969",-1
R_xc6b5Ofh67c9Qsx,Default Response Set,Anonymous,,,134.58.253.57,0,2/15/17 11:22,2/15/17 11:24,1,0,1,,,,,,,,0,,8,4,1,"50,879,592,895,508","47,008,972,167,969",-1
R_2WDtuz2mo6kEh3u,Default Response Set,Anonymous,,,134.58.253.57,0,2/15/17 11:53,2/15/17 11:54,1,0,0,,,,,,,,,1,9,9,1,"50,879,592,895,508","47,008,972,167,969",-1
R_pLhf7B9JaoR0L5f,Default Response Set,Anonymous,,,134.58.253.57,0,2/15/17 12:04,2/15/17 12:06,1,0,1,,,,,,,,3,,3,4,1,"50,879,592,895,508","47,008,972,167,969",-1
R_9zNNF8mx2VqebJL,Default Response Set,Anonymous,,,134.58.253.57,0,2/15/17 12:50,2/15/17 12:55,1,1,1,1,1,,546,1,7,8,,,7,7,1,"50,879,592,895,508","47,008,972,167,969",-1
R_1OlhSAzTTlR6BL9,Default Response Set,Anonymous,,,134.58.253.57,0,2/15/17 13:04,2/15/17 13:08,1,1,0,1,,2,528,4,7,7,,,6,8,1,"50,879,592,895,508","47,008,972,167,969",-1
R_1mXb08t9e30rzmn,Default Response Set,Anonymous,,,134.58.253.57,0,2/15/17 13:57,2/15/17 13:58,1,0,0,,,,,,,,,1,4,7,1,"50,879,592,895,508","47,008,972,167,969",-1
R_1QASATfTRiu0eVn,Default Response Set,Anonymous,,,134.58.253.57,0,2/15/17 13:57,2/15/17 14:01,1,1,0,1,,4,534,3,9,10,,,8,7,1,"50,879,592,895,508","47,008,972,167,969",-1
R_10USDawg5iRO1s1,Default Response Set,Anonymous,,,134.58.253.57,0,2/15/17 15:00,2/15/17 15:02,1,0,1,,,,,,,,0,,10,9,1,"50,879,592,895,508","47,008,972,167,969",-1
R_2dgwp4Qlx6VvHXw,Default Response Set,Anonymous,,,134.58.253.57,0,2/15/17 14:57,2/15/17 15:02,1,1,1,1,3,,528,2,5,9,,,9,10,1,"50,879,592,895,508","47,008,972,167,969",-1
R_1IoWcOMv4zqnLQo,Default Response Set,Anonymous,,,134.58.253.57,0,2/15/17 15:53,2/15/17 15:53,1,0,1,,,,,,,,6,,10,9,1,"50,879,592,895,508","47,008,972,167,969",-1
R_Zk551cnd1WtOxt7,Default Response Set,Anonymous,,,134.58.253.57,0,2/15/17 15:56,2/15/17 15:58,1,1,1,1,1,,549,4,7,6,,,2,8,1,"50,879,592,895,508","47,008,972,167,969",-1
R_3NQ9drdGhQkrJqY,Default Response Set,Anonymous,,,134.58.253.57,0,2/15/17 16:44,2/15/17 16:45,1,0,0,,,,,,,,,6,7,3,1,"50,879,592,895,508","47,008,972,167,969",-1
R_27ezgzCCvC3cixB,Default Response Set,Anonymous,,,134.58.253.57,0,2/15/17 16:57,2/15/17 17:00,1,1,0,1,,6,561,4,6,7,,,8,6,1,"50,879,592,895,508","47,008,972,167,969",-1
R_3nfrxbDCQ186P2d,Default Response Set,Anonymous,,,134.58.253.57,0,2/16/17 9:02,2/16/17 9:03,1,0,1,,,,,,,,4,,8,7,1,"50,879,592,895,508","47,008,972,167,969",-1
R_3h5stJAp8AyEPRZ,Default Response Set,Anonymous,,,134.58.253.57,0,2/16/17 11:00,2/16/17 11:04,1,1,1,1,2,,525,3,8,9,,,2,8,1,"50,879,592,895,508","47,008,972,167,969",-1
R_R9V2GT6jA7n4T29,Default Response Set,Anonymous,,,134.58.253.57,0,2/16/17 11:47,2/16/17 11:48,1,0,0,,,,,,,,,1,7,10,1,"50,879,592,895,508","47,008,972,167,969",-1
R_Ybhx97qazjxwHpD,Default Response Set,Anonymous,,,134.58.253.57,0,2/16/17 11:46,2/16/17 11:49,1,1,0,1,,2,561,3,1,1,,,6,2,1,"50,879,592,895,508","47,008,972,167,969",-1
R_2xx89o0KzZniz0i,Default Response Set,Anonymous,,,134.58.253.57,0,2/16/17 12:54,2/16/17 12:56,1,0,1,,,,,,,,1,,6,2,1,"50,879,592,895,508","47,008,972,167,969",-1
R_1EX1s8Q6V56yBEv,Default Response Set,Anonymous,,,134.58.253.57,0,2/16/17 13:09,2/16/17 13:10,1,0,0,,,,,,,,,3,6,6,1,"50,879,592,895,508","47,008,972,167,969",-1
R_1lnwmQcTPSaG4ye,Default Response Set,Anonymous,,,134.58.253.57,0,2/16/17 13:58,2/16/17 14:02,1,1,1,1,0,,549,1,2,6,,,6,7,1,"50,879,592,895,508","47,008,972,167,969",-1
R_2PBTt08XqW7AwAR,Default Response Set,Anonymous,,,134.58.253.57,0,2/16/17 14:04,2/16/17 14:07,1,1,0,1,,4,526,5,10,10,,,7,5,1,"50,879,592,895,508","47,008,972,167,969",-1
R_3nIuAGWaIostJx3,Default Response Set,Anonymous,,,134.58.253.57,0,2/16/17 14:57,2/16/17 15:05,1,1,0,1,,4,533,4,10,10,,,9,8,1,"50,879,592,895,508","47,008,972,167,969",-1
R_268yrlhS4Ue7OVd,Default Response Set,Anonymous,,,134.58.253.57,0,2/16/17 15:08,2/16/17 15:09,1,0,1,,,,,,,,1,,7,3,1,"50,879,592,895,508","47,008,972,167,969",-1
R_ByUIFDKZy8q29Yl,Default Response Set,Anonymous,,,134.58.253.57,0,2/16/17 15:57,2/16/17 15:59,1,0,0,,,,,,,,,0,5,9,1,"50,879,592,895,508","47,008,972,167,969",-1
R_rdtnXEn1NeJVIiZ,Default Response Set,Anonymous,,,134.58.253.57,0,2/16/17 16:08,2/16/17 16:15,1,1,1,1,2,,501,4,7,8,,,8,7,1,"50,879,592,895,508","47,008,972,167,969",-1
R_1jNCvpZvEx5NaXc,Default Response Set,Anonymous,,,134.58.253.57,0,2/16/17 16:53,2/16/17 16:56,1,1,1,1,1,,534,4,6,7,,,6,10,1,"50,879,592,895,508","47,008,972,167,969",-1
R_4YqX5Hv4XR2g7a9,Default Response Set,Anonymous,,,134.58.253.57,0,2/16/17 17:09,2/16/17 17:11,1,1,0,1,,3,520,1,7,8,,,10,8,1,"50,879,592,895,508","47,008,972,167,969",-1
R_3MFqhAW4Igz18cz,Default Response Set,Anonymous,,,134.58.253.57,0,2/17/17 8:58,2/17/17 8:59,1,0,0,,,,,,,,,0,4,2,1,"50,879,592,895,508","47,008,972,167,969",-1
R_2ypSlG4JNnCerJ0,Default Response Set,Anonymous,,,134.58.253.57,0,2/17/17 10:02,2/17/17 10:03,1,0,1,,,,,,,,1,,7,10,1,"50,879,592,895,508","47,008,972,167,969",-1
R_2zOz9pR0c8oVbmA,Default Response Set,Anonymous,,,134.58.253.57,0,2/17/17 11:00,2/17/17 11:01,1,0,0,,,,,,,,,2,7,5,1,"50,879,592,895,508","47,008,972,167,969",-1
R_31aQ3cn0fOtcVGG,Default Response Set,Anonymous,,,134.58.253.57,0,2/17/17 11:01,2/17/17 11:04,1,1,0,1,,2,531,3,2,3,,,9,9,1,"50,879,592,895,508","47,008,972,167,969",-1
R_1erbSQF6WLNr4nI,Default Response Set,Anonymous,,,134.58.253.57,0,2/17/17 11:57,2/17/17 11:58,1,0,1,,,,,,,,3,,5,7,1,"50,879,592,895,508","47,008,972,167,969",-1
R_1HbLZiLXA7tVScS,Default Response Set,Anonymous,,,134.58.253.57,0,2/17/17 12:00,2/17/17 12:03,1,1,1,1,1,,528,2,3,9,,,6,6,1,"50,879,592,895,508","47,008,972,167,969",-1
R_3fdC5czKDLEMRPA,Default Response Set,Anonymous,,,134.58.253.57,0,2/17/17 12:59,2/17/17 13:00,1,0,1,,,,,,,,3,,8,6,1,"50,879,592,895,508","47,008,972,167,969",-1
R_2vhPg6Ayo48JXhJ,Default Response Set,Anonymous,,,134.58.253.57,0,2/17/17 14:02,2/17/17 14:03,1,0,0,,,,,,,,,2,7,8,1,"50,879,592,895,508","47,008,972,167,969",-1
R_3PaYZn99zO1exUj,Default Response Set,Anonymous,,,134.58.253.57,0,2/17/17 13:59,2/17/17 14:03,1,1,1,1,2,,537,5,8,9,,,2,3,1,"50,879,592,895,508","47,008,972,167,969",-1
R_ezGFpMGWGCzqpkF,Default Response Set,Anonymous,,,134.58.253.57,0,2/17/17 15:03,2/17/17 15:07,1,1,0,1,,2,531,4,5,8,,,6,7,1,"50,879,592,895,508","47,008,972,167,969",-1
R_1hZ4HA5ClMOh4KL,Default Response Set,Anonymous,,,134.58.253.57,0,2/17/17 16:01,2/17/17 16:03,1,0,1,,,,,,,,0,,7,2,1,"50,879,592,895,508","47,008,972,167,969",-1
R_2Bs602ou3Uu4jhM,Default Response Set,Anonymous,,,134.58.253.57,0,2/17/17 16:05,2/17/17 16:07,1,0,0,,,,,,,,,0,7,9,1,"50,879,592,895,508","47,008,972,167,969",-1
R_D03UtNwCLQq9NF7,Default Response Set,Anonymous,,,134.58.253.57,0,2/17/17 17:03,2/17/17 17:06,1,1,0,1,,6,376,6,9,9,,,8,7,1,"50,879,592,895,508","47,008,972,167,969",-1
R_1Mn0ImDan0JzhPX,Default Response Set,Anonymous,,,134.58.253.57,0,2/20/17 9:59,2/20/17 10:03,1,1,1,1,1,,507,3,6,8,,,6,5,1,"50,879,592,895,508","47,008,972,167,969",-1
R_32VlGmn0yAqx4Wr,Default Response Set,Anonymous,,,134.58.253.57,0,2/20/17 10:05,2/20/17 10:07,1,1,1,1,2,,553,4,8,8,,,8,7,1,"50,879,592,895,508","47,008,972,167,969",-1
R_24zQQEDUCymfB5f,Default Response Set,Anonymous,,,134.58.253.57,0,2/20/17 10:51,2/20/17 10:55,1,1,0,1,,2,549,4,7,7,,,9,7,1,"50,879,592,895,508","47,008,972,167,969",-1
R_81AdU5nDrtcBzmV,Default Response Set,Anonymous,,,134.58.253.57,0,2/20/17 11:05,2/20/17 11:06,1,0,0,,,,,,,,,5,7,9,1,"50,879,592,895,508","47,008,972,167,969",-1
R_vfzK7F4tMvK5Mhr,Default Response Set,Anonymous,,,134.58.253.57,0,2/20/17 11:56,2/20/17 11:57,1,0,1,,,,,,,,2,,7,7,1,"50,879,592,895,508","47,008,972,167,969",-1
R_2fxkH6MXrKMxqO5,Default Response Set,Anonymous,,,134.58.253.57,0,2/20/17 12:00,2/20/17 12:01,1,0,0,,,,,,,,,2,5,8,1,"50,879,592,895,508","47,008,972,167,969",-1
R_1pW1FTb2hILzhWW,Default Response Set,Anonymous,,,134.58.253.57,0,2/20/17 12:54,2/20/17 12:56,1,1,0,1,,3,543,4,6,5,,,6,4,1,"50,879,592,895,508","47,008,972,167,969",-1
R_ByJWsB33kq21dbr,Default Response Set,Anonymous,,,134.58.253.57,0,2/20/17 12:57,2/20/17 13:00,1,1,1,1,1,,561,2,5,2,,,7,9,1,"50,879,592,895,508","47,008,972,167,969",-1
R_2aUFqMmSPS6p3HR,Default Response Set,Anonymous,,,134.58.253.57,0,2/20/17 13:54,2/20/17 13:55,1,0,1,,,,,,,,2,,4,6,1,"50,879,592,895,508","47,008,972,167,969",-1
R_yq2HqcoiDPuZ8k1,Default Response Set,Anonymous,,,134.58.253.57,0,2/20/17 14:03,2/20/17 14:04,1,0,0,,,,,,,,,2,3,9,1,"50,879,592,895,508","47,008,972,167,969",-1
R_3IWtpMilv0aRLMa,Default Response Set,Anonymous,,,134.58.253.57,0,2/20/17 15:53,2/20/17 15:56,1,1,1,1,2,,519,5,1,8,,,10,10,1,"50,879,592,895,508","47,008,972,167,969",-1
R_qxughKRpykWQr1D,Default Response Set,Anonymous,,,134.58.253.57,0,2/21/17 10:05,2/21/17 10:06,1,0,1,,,,,,,,1,,2,8,1,"50,879,592,895,508","47,008,972,167,969",-1
R_3EYXG6vhEtIcjSU,Default Response Set,Anonymous,,,134.58.253.57,0,2/21/17 11:52,2/21/17 11:55,1,1,0,1,,3,543,3,8,8,,,6,7,1,"50,879,592,895,508","47,008,972,167,969",-1
R_39ol7qOcnF2iMdX,Default Response Set,Anonymous,,,134.58.253.57,0,2/21/17 13:58,2/21/17 14:01,1,1,0,1,,4,561,3,2,2,,,8,9,1,"50,879,592,895,508","47,008,972,167,969",-1
R_3HU2EAKbAL2i48j,Default Response Set,Anonymous,,,134.58.253.57,0,2/21/17 16:56,2/21/17 17:01,1,1,1,1,1,,513,2,5,9,,,7,7,1,"50,879,592,895,508","47,008,972,167,969",-1
R_3fNs0ArDsLoV5io,Default Response Set,Anonymous,,,134.58.253.57,0,2/21/17 17:04,2/21/17 17:06,1,0,1,,,,,,,,6,,5,9,1,"50,879,592,895,508","47,008,972,167,969",-1
R_dbQu4KeZ9LFe4WR,Default Response Set,Anonymous,,,134.58.253.57,0,2/22/17 10:57,2/22/17 10:58,1,0,0,,,,,,,,,2,3,2,1,"50,879,592,895,508","47,008,972,167,969",-1
R_ZlQud9ZQTi9Zynf,Default Response Set,Anonymous,,,134.58.253.57,0,2/22/17 12:04,2/22/17 12:06,1,0,1,,,,,,,,2,,6,7,1,"50,879,592,895,508","47,008,972,167,969",-1
R_11bxKkUgUrT72Ud,Default Response Set,Anonymous,,,134.58.253.57,0,2/22/17 12:57,2/22/17 12:58,1,0,0,,,,,,,,,4,9,7,1,"50,879,592,895,508","47,008,972,167,969",-1
R_1jZdxjSrYDLr3WN,Default Response Set,Anonymous,,,134.58.253.57,0,2/22/17 12:57,2/22/17 13:00,1,1,0,1,,2,549,3,8,8,,,2,6,1,"50,879,592,895,508","47,008,972,167,969",-1
R_12zgF9NBD5I8wDF,Default Response Set,Anonymous,,,134.58.253.57,0,2/22/17 13:55,2/22/17 13:59,1,1,1,1,1,,386,2,9,8,,,7,8,1,"50,879,592,895,508","47,008,972,167,969",-1
R_296qSEYNWkz8HTv,Default Response Set,Anonymous,,,134.58.253.57,0,2/22/17 14:03,2/22/17 14:09,1,1,0,1,,5,540,2,8,8,,,7,9,1,"50,879,592,895,508","47,008,972,167,969",-1
R_1dbt7LoyJoj5KHj,Default Response Set,Anonymous,,,134.58.253.57,0,2/22/17 14:52,2/22/17 14:53,1,0,1,,,,,,,,3,,7,7,1,"50,879,592,895,508","47,008,972,167,969",-1
R_3GBSWI5Mjj3OQN0,Default Response Set,Anonymous,,,134.58.253.57,0,2/22/17 15:16,2/22/17 15:19,1,1,1,1,4,,528,4,4,5,,,7,4,1,"50,879,592,895,508","47,008,972,167,969",-1
R_3mgZElxxxaES5ZD,Default Response Set,Anonymous,,,134.58.253.57,0,2/22/17 16:01,2/22/17 16:02,1,0,0,,,,,,,,,1,8,7,1,"50,879,592,895,508","47,008,972,167,969",-1
R_2Cg4eWd6sZZQAjS,Default Response Set,Anonymous,,,134.58.253.57,0,2/22/17 16:02,2/22/17 16:02,1,0,0,,,,,,,,,3,4,6,1,"50,879,592,895,508","47,008,972,167,969",-1
R_2EcQV5x9ubapcSj,Default Response Set,Anonymous,,,134.58.253.57,0,2/23/17 11:57,2/23/17 11:58,1,0,1,,,,,,,,1,,7,4,1,"50,879,592,895,508","47,008,972,167,969",-1
R_2rqF1SztcZQ8AEP,Default Response Set,Anonymous,,,134.58.253.57,0,2/23/17 12:01,2/23/17 12:05,1,1,1,1,1,,561,5,2,5,,,9,8,1,"50,879,592,895,508","47,008,972,167,969",-1
R_a2FM2KLHvjbO5Kp,Default Response Set,Anonymous,,,134.58.253.57,0,2/23/17 13:01,2/23/17 13:04,1,1,0,1,,0,510,3,2,7,,,6,8,1,"50,879,592,895,508","47,008,972,167,969",-1
R_1LRuA8Ji7Wmte8r,Default Response Set,Anonymous,,,134.58.253.57,0,2/23/17 13:07,2/23/17 13:08,1,0,0,,,,,,,,,1,9,9,1,"50,879,592,895,508","47,008,972,167,969",-1
R_2wH0UkK3JyGAK6D,Default Response Set,Anonymous,,,134.58.253.57,0,2/23/17 13:58,2/23/17 14:01,1,1,1,1,5,,501,4,7,8,,,8,6,1,"50,879,592,895,508","47,008,972,167,969",-1
R_1JPCvKjxvP4JwF4,Default Response Set,Anonymous,,,134.58.253.57,0,2/23/17 13:58,2/23/17 14:01,1,1,0,1,,2,561,1,9,9,,,6,4,1,"50,879,592,895,508","47,008,972,167,969",-1
R_1XPjGNHAYk26FSF,Default Response Set,Anonymous,,,134.58.253.57,0,2/23/17 14:57,2/23/17 14:58,1,0,1,,,,,,,,4,,7,9,1,"50,879,592,895,508","47,008,972,167,969",-1
R_3egVJNCB1Uob6Dr,Default Response Set,Anonymous,,,134.58.253.57,0,2/23/17 15:01,2/23/17 15:02,1,0,0,,,,,,,,,1,3,6,1,"50,879,592,895,508","47,008,972,167,969",-1
R_3m81bt0UVAMpvKu,Default Response Set,Anonymous,,,134.58.253.57,0,2/23/17 15:53,2/23/17 15:55,1,1,1,1,1,,542,4,7,7,,,9,9,1,"50,879,592,895,508","47,008,972,167,969",-1
R_QomXbxbGirlgZyN,Default Response Set,Anonymous,,,134.58.253.57,0,2/23/17 16:00,2/23/17 16:03,1,1,0,1,,3,534,3,6,6,,,8,8,1,"50,879,592,895,508","47,008,972,167,969",-1
R_OD7CO4CEbiIsF9v,Default Response Set,Anonymous,,,134.58.253.57,0,2/23/17 16:52,2/23/17 16:53,1,0,1,,,,,,,,4,,10,10,1,"50,879,592,895,508","47,008,972,167,969",-1
R_yHDAkxXHncnPv0Z,Default Response Set,Anonymous,,,134.58.253.57,0,2/23/17 16:59,2/23/17 17:03,1,1,0,1,,2,523,6,8,9,,,6,8,1,"50,879,592,895,508","47,008,972,167,969",-1
R_2fdLeCillT1qByO,Default Response Set,Anonymous,,,134.58.253.57,0,2/24/17 11:02,2/24/17 11:04,1,0,0,,,,,,,,,2,5,9,1,"50,879,592,895,508","47,008,972,167,969",-1
R_3GBRo2HO6mbIG1I,Default Response Set,Anonymous,,,134.58.253.57,0,2/24/17 11:04,2/24/17 11:07,1,1,1,1,1,,549,2,7,6,,,8,3,1,"50,879,592,895,508","47,008,972,167,969",-1
R_SW5YDWgjlJdVdcd,Default Response Set,Anonymous,,,134.58.253.57,0,2/24/17 12:05,2/24/17 12:07,1,0,1,,,,,,,,3,,6,9,1,"50,879,592,895,508","47,008,972,167,969",-1
R_1IHjH6ngq30MpZe,Default Response Set,Anonymous,,,134.58.253.57,0,2/24/17 13:13,2/24/17 13:14,1,0,1,,,,,,,,1,,5,6,1,"50,879,592,895,508","47,008,972,167,969",-1
R_1jPpFd99eGahmf6,Default Response Set,Anonymous,,,134.58.253.57,0,2/24/17 13:59,2/24/17 14:00,1,1,0,1,,2,2,1,7,7,,,1,4,1,"50,879,592,895,508","47,008,972,167,969",-1
R_1PdZnGWl4ufhsMQ,Default Response Set,Anonymous,,,134.58.253.57,0,2/24/17 14:02,2/24/17 14:03,1,0,0,,,,,,,,,1,5,1,1,"50,879,592,895,508","47,008,972,167,969",-1
R_3k1vJmQTxHlFxSy,Default Response Set,Anonymous,,,134.58.253.57,0,2/24/17 14:59,2/24/17 15:02,1,1,1,1,3,,561,4,4,4,,,7,3,1,"50,879,592,895,508","47,008,972,167,969",-1
R_3Q0jLCRBLJUmHqJ,Default Response Set,Anonymous,,,134.58.253.57,0,2/24/17 14:59,2/24/17 15:04,1,1,1,1,0,,513,3,5,10,,,2,10,1,"50,879,592,895,508","47,008,972,167,969",-1
R_3ixbhiK86mQ6HTy,Default Response Set,Anonymous,,,134.58.253.57,0,2/24/17 15:52,2/24/17 15:53,1,0,0,,,,,,,,,1,7,8,1,"50,879,592,895,508","47,008,972,167,969",-1
R_2QRlRfWiwtmW8qF,Default Response Set,Anonymous,,,134.58.253.57,0,2/24/17 17:01,2/24/17 17:02,1,0,1,,,,,,,,1,,9,7,1,"50,879,592,895,508","47,008,972,167,969",-1
R_1IXcOgoRRDxO3AU,Default Response Set,Anonymous,,,134.58.253.57,0,2/24/17 17:03,2/24/17 17:06,1,1,0,1,,1,561,1,8,8,,,9,7,1,"50,879,592,895,508","47,008,972,167,969",-1
R_2y418aDlhBTVDJ9,Default Response Set,Anonymous,,,134.58.253.57,0,2/27/17 9:53,2/27/17 9:57,1,1,0,1,,1,552,3,8,5,,,9,10,1,"5,088,330,078,125","46,999,969,482,422",-1
R_b8yx71xJZea8z9T,Default Response Set,Anonymous,,,134.58.253.57,0,2/27/17 10:01,2/27/17 10:04,1,1,1,1,5,,474,1,8,10,,,6,7,1,"5,088,330,078,125","46,999,969,482,422",-1
R_3GrB0QH6oYkk3Sj,Default Response Set,Anonymous,,,134.58.253.57,0,2/27/17 11:42,2/27/17 11:43,1,0,0,,,,,,,,,1,9,10,1,"5,088,330,078,125","46,999,969,482,422",-1
R_2BbRYNxS8gR0Abk,Default Response Set,Anonymous,,,134.58.253.57,0,2/27/17 11:59,2/27/17 12:00,1,0,1,,,,,,,,1,,6,10,1,"5,088,330,078,125","46,999,969,482,422",-1
R_1OGJ0YUSFSxfLNt,Default Response Set,Anonymous,,,134.58.253.57,0,2/27/17 12:59,2/27/17 13:02,1,1,1,1,2,,552,1,10,10,,,8,10,1,"5,088,330,078,125","46,999,969,482,422",-1
R_1gnjeGQ9Q6HGNz6,Default Response Set,Anonymous,,,134.58.253.57,0,2/27/17 13:08,2/27/17 13:11,1,1,0,1,,2,540,1,6,7,,,10,10,1,"5,088,330,078,125","46,999,969,482,422",-1
R_2ctiZNHcPrRYRGo,Default Response Set,Anonymous,,,134.58.253.57,0,2/27/17 15:00,2/27/17 15:01,1,0,1,,,,,,,,0,,6,9,1,"5,088,330,078,125","46,999,969,482,422",-1
R_1ezu10qcls2Pr8a,Default Response Set,Anonymous,,,134.58.253.57,0,2/27/17 15:01,2/27/17 15:03,1,0,0,,,,,,,,,1,7,7,1,"5,088,330,078,125","46,999,969,482,422",-1
R_1P7XlFZvyvAT5uG,Default Response Set,Anonymous,,,134.58.253.57,0,2/27/17 16:08,2/27/17 16:09,1,0,0,,,,,,,,,1,9,7,1,"5,088,330,078,125","46,999,969,482,422",-1
R_3g6GXwJ87oP6Vxc,Default Response Set,Anonymous,,,134.58.253.57,0,2/27/17 16:18,2/27/17 16:22,1,1,1,1,1,,525,3,7,7,,,6,9,1,"5,088,330,078,125","46,999,969,482,422",-1
R_2SeRXch9JEgVjda,Default Response Set,Anonymous,,,134.58.253.57,0,2/28/17 10:04,2/28/17 10:05,1,0,1,,,,,,,,1,,7,7,1,"5,088,330,078,125","46,999,969,482,422",-1
R_2s6o2GBn3yviK0P,Default Response Set,Anonymous,,,134.58.253.57,0,2/28/17 10:08,2/28/17 10:12,1,1,0,1,,5,531,2,7,7,,,8,9,1,"5,088,330,078,125","46,999,969,482,422",-1
