V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,mTurkCode,load,had.read,Q24,Q13,text,L1.R1.scenario_1,L1.R0.scenario_1,Q28,Q29_1,Q21_1,Q22_1,L0.R1.text_1,L0.R0.text_1,Q26_1,Q14_1,text.thanks,LocationLatitude,LocationLongitude,LocationAccuracy,
R_3JqOigaAwcTeI22,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-02 12:42:06,2017-03-02 12:54:12,1,423047,1,0,1,1,1,,7,534,5,7,8,,,6,3,1,41.149597167969,-8.6109924316406,-1,
R_22PRT2JGpsbeS4w,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-02 12:46:11,2017-03-02 12:55:24,1,423561,0,1,1,1,,,,,,,,3,,6,8,1,41.149597167969,-8.6109924316406,-1,
R_1jTcoJ8ExoiADEi,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-02 12:52:23,2017-03-02 12:55:29,1,423557,0,0,1,1,,,,,,,,,4,5,5,1,41.149597167969,-8.6109924316406,-1,
R_YPGLkCGmeJJpa9j,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-02 12:57:58,2017-03-02 13:07:05,1,423403,1,1,1,1,1,5,,561,2,6,8,,,9,6,1,41.149597167969,-8.6109924316406,-1,
R_3pgy7OEX4r04bae,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-02 13:15:40,2017-03-02 13:56:58,1,423675,1,0,1,1,1,,2,561,3,7,6,,,8,6,1,41.149597167969,-8.6109924316406,-1,
R_3PLxlLh71xIS5bv,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-02 12:20:25,2017-03-02 12:42:16,0,423353,1,1,1,1,1,2,,,,,,,,,,,,,-1,
R_1mtnW5WFuGo2iRu,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-20 10:26:35,2017-03-20 10:29:06,1,423934,0,1,1,1,,,,,,,,5,,9,8,1,41.149597167969,-8.6109924316406,-1,
R_1IaxC7o3BkdMipr,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-20 10:29:43,2017-03-20 10:34:08,1,423635,1,1,1,1,1,2,,549,1,8,7,,,8,6,1,41.149597167969,-8.6109924316406,-1,
R_1hBeVGN3NQOMq9M,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-20 10:35:17,2017-03-20 10:38:46,1,423113,0,0,1,1,,,,,,,,,2,3,6,1,41.149597167969,-8.6109924316406,-1,
R_1HdhydNS9QVaXiZ,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-20 10:33:40,2017-03-20 10:39:29,1,423980,0,1,1,1,,,,,,,,2,,7,1,1,41.149597167969,-8.6109924316406,-1,
R_1K8W0UJ5YSoQUqc,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-20 10:35:29,2017-03-20 10:40:48,1,423472,1,0,1,1,1,,3,549,2,5,6,,,3,1,1,41.149597167969,-8.6109924316406,-1,
R_3dGL5nG9mhHaZdz,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-20 10:41:16,2017-03-20 10:43:58,1,423986,0,0,1,1,,,,,,,,,1,7,6,1,41.149597167969,-8.6109924316406,-1,
R_3J2kqIrlJ0ZYVNz,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-20 10:39:29,2017-03-20 10:47:54,1,423959,1,1,1,1,1,3,,552,4,7,8,,,5,8,1,41.149597167969,-8.6109924316406,-1,
R_3KxRIEoEF3Yis4S,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-20 10:40:37,2017-03-20 10:49:07,1,423102,0,1,1,1,,,,,,,,2,,8,5,1,41.149597167969,-8.6109924316406,-1,
R_wZeeNDsOAIrd6ed,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-20 10:44:33,2017-03-20 10:50:09,1,423250,1,1,1,1,1,3,,552,6,9,10,,,8,8,1,41.149597167969,-8.6109924316406,-1,
R_cCIyL3S4JaRs8w1,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-20 10:48:39,2017-03-20 10:52:40,1,423576,1,0,1,1,1,,5,659,1,10,10,,,5,6,1,41.149597167969,-8.6109924316406,-1,
R_3foSmx2PK87521g,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-20 10:52:27,2017-03-20 10:54:29,1,423143,0,0,1,1,,,,,,,,,2,10,5,1,41.149597167969,-8.6109924316406,-1,
R_1DnIBTqAPs5aMht,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-20 10:55:05,2017-03-20 10:56:36,1,423328,0,0,1,1,,,,,,,,,6,4,7,1,41.149597167969,-8.6109924316406,-1,
R_3JJY7bw3Xt5lwom,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-20 10:53:32,2017-03-20 10:58:22,1,423436,1,1,1,1,1,1,,504,2,7,7,,,6,7,1,41.149597167969,-8.6109924316406,-1,
R_2dmfYJoPFKKgzya,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-20 10:57:04,2017-03-20 11:00:37,1,423127,1,0,1,1,1,,5,558,5,4,6,,,4,0,1,41.149597167969,-8.6109924316406,-1,
R_TaNpRHHpjOJ222d,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-20 10:58:51,2017-03-20 11:00:38,1,423402,0,1,1,1,,,,,,,,1,,5,9,1,41.149597167969,-8.6109924316406,-1,
R_2YeUMragiwUrn41,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-20 10:51:43,2017-03-20 11:01:21,1,423642,0,0,1,1,,,,,,,,,2,1,10,1,41.149597167969,-8.6109924316406,-1,
R_3qpKvbsrMatQl0s,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-20 10:56:25,2017-03-20 11:01:35,1,423880,0,1,1,1,,,,,,,,4,,9,3,1,41.149597167969,-8.6109924316406,-1,
R_xlWO5pGxruE7hSN,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-20 11:03:50,2017-03-20 11:05:06,1,423624,0,0,1,1,,,,,,,,,4,8,8,1,41.149597167969,-8.6109924316406,-1,
R_82ZXzAJ02vNlnot,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-20 11:00:55,2017-03-20 11:05:17,1,423627,1,1,1,1,1,4,,565,5,9,10,,,6,8,1,41.149597167969,-8.6109924316406,-1,
R_3KvIdn2NKZZoE55,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-20 11:03:16,2017-03-20 11:06:33,1,423242,1,0,1,1,1,,9,561,1,9,9,,,7,7,1,41.149597167969,-8.6109924316406,-1,
R_1po0DwnVa5uVbai,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-20 11:08:14,2017-03-20 11:09:54,1,423308,0,1,1,1,,,,,,,,3,,10,3,1,41.149597167969,-8.6109924316406,-1,
R_3GpL1YZuAwTRPPb,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-20 11:09:55,2017-03-20 11:11:33,1,423471,0,0,1,1,,,,,,,,,5,8,8,1,41.149597167969,-8.6109924316406,-1,
R_yl8zpB36KNmuPrH,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-20 11:05:57,2017-03-20 11:12:59,1,423237,1,0,1,1,1,,5,549,2,9,10,,,8,8,1,41.149597167969,-8.6109924316406,-1,
R_2DOyczfelZgh8n5,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-20 11:05:43,2017-03-20 11:13:13,1,423907,1,1,1,1,1,5,,501,4,4,8,,,9,10,1,41.149597167969,-8.6109924316406,-1,
R_262YsAZkQONbtaJ,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-20 11:13:29,2017-03-20 11:15:49,1,423057,1,1,1,1,1,7,,7,4,2,2,,,8,8,1,41.149597167969,-8.6109924316406,-1,
R_pfJ09UYD6wkOT3b,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-20 11:12:28,2017-03-20 11:16:17,1,423430,1,0,1,1,1,,5,541,0,9,9,,,9,10,1,41.149597167969,-8.6109924316406,-1,
R_3HGrE2UxNHrzB6h,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-20 11:15:39,2017-03-20 11:17:19,1,423233,0,1,1,1,,,,,,,,2,,9,10,1,41.149597167969,-8.6109924316406,-1,
R_1gTNpGArmNn6FEG,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-20 11:15:54,2017-03-20 11:17:32,1,423535,0,0,1,1,,,,,,,,,7,6,9,1,41.149597167969,-8.6109924316406,-1,
R_qHZGX38hUm0uMw1,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-20 11:18:02,2017-03-20 11:21:13,1,423875,1,1,1,1,1,5,,555,2,6,6,,,5,9,1,41.149597167969,-8.6109924316406,-1,
R_DFRobPNUw2Ys82l,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-20 11:20:35,2017-03-20 11:21:47,1,423478,0,1,1,1,,,,,,,,2,,6,8,1,41.149597167969,-8.6109924316406,-1,
R_1j7crCzXjmo6Pyo,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-20 11:21:17,2017-03-20 11:22:56,1,423479,0,1,1,1,,,,,,,,5,,7,7,1,41.149597167969,-8.6109924316406,-1,
R_AoIQElRvcLfyTVD,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-20 11:21:30,2017-03-20 11:23:04,1,423786,0,0,1,1,,,,,,,,,2,5,9,1,41.149597167969,-8.6109924316406,-1,
R_2RafeHrEdPVi8O6,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-20 11:20:56,2017-03-20 11:24:02,1,423447,1,0,1,1,1,,2,555,3,8,7,,,7,5,1,41.149597167969,-8.6109924316406,-1,
R_3siXHcNltKdakNl,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 09:31:24,2017-03-29 09:43:52,1,423955,0,0,1,1,,,,,,,,,2,0,6,1,41.149597167969,-8.6109924316406,-1,
R_2WVlLUumoUEHGs2,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 09:30:15,2017-03-29 09:44:39,1,423924,1,1,1,1,1,6,,549,1,8,7,,,7,8,1,41.149597167969,-8.6109924316406,-1,
R_1E4mLwhYt8N4TXX,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 09:27:11,2017-03-29 09:46:01,1,423477,1,0,1,1,1,,5,545,5,7,7,,,6,8,1,41.149597167969,-8.6109924316406,-1,
R_3qdiRXkHUYaWbRH,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 09:45:16,2017-03-29 09:48:36,1,423483,1,0,1,1,1,,8,561,1,7,8,,,7,8,1,41.149597167969,-8.6109924316406,-1,
R_1GZyPxMpexCvpZE,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 09:45:22,2017-03-29 09:50:10,1,423333,0,1,1,1,,,,,,,,5,,2,9,1,41.149597167969,-8.6109924316406,-1,
R_2ru2ve9475FweDv,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 09:47:01,2017-03-29 09:51:09,1,423937,1,1,1,1,1,1,,561,0,5,8,,,8,7,1,41.149597167969,-8.6109924316406,-1,
R_qJHbJcgytJD0PHb,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 09:51:39,2017-03-29 09:53:17,1,423346,0,0,1,1,,,,,,,,,4,7,9,1,41.149597167969,-8.6109924316406,-1,
R_pLfWxiLXWJOZNkt,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 09:50:39,2017-03-29 09:53:36,1,423933,1,1,1,1,1,5,,552,2,8,8,,,7,8,1,41.149597167969,-8.6109924316406,-1,
R_UhEoFBFKv1vJSCt,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 09:53:51,2017-03-29 09:55:32,1,423134,0,1,1,1,,,,,,,,7,,9,9,1,41.149597167969,-8.6109924316406,-1,
R_11YliCRmnR7Ruxr,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 09:54:07,2017-03-29 09:57:12,1,423899,1,0,1,1,1,,4,561,1,9,9,,,7,7,1,41.149597167969,-8.6109924316406,-1,
R_3qpu8iI3A2RE2By,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 09:56:10,2017-03-29 09:57:26,1,423080,0,0,1,1,,,,,,,,,1,6,10,1,41.149597167969,-8.6109924316406,-1,
R_2Cp5DtOG3gKoanN,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 09:57:47,2017-03-29 09:59:07,1,423837,0,1,1,1,,,,,,,,1,,8,2,1,41.149597167969,-8.6109924316406,-1,
R_3kc9zbTpiHIGQhf,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 10:02:39,2017-03-29 10:04:55,1,423445,0,0,1,1,,,,,,,,,7,9,1,1,41.149597167969,-8.6109924316406,-1,
R_2ghAgZms6RJbCyB,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 10:00:48,2017-03-29 10:05:20,1,423692,1,1,1,1,1,6,,546,3,7,7,,,7,9,1,41.149597167969,-8.6109924316406,-1,
R_1hZ0T85wMsze4cn,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 10:00:06,2017-03-29 10:05:50,1,423332,1,0,1,1,1,,4,558,5,8,8,,,5,7,1,41.149597167969,-8.6109924316406,-1,
R_2SiqGaV4wh2Ju7y,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 10:07:55,2017-03-29 10:11:22,1,423547,0,1,1,1,,,,,,,,2,,7,6,1,41.149597167969,-8.6109924316406,-1,
R_3mfrBOYaxCtK3zr,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 10:07:26,2017-03-29 10:13:23,1,423030,1,0,1,1,1,,5,521,1,9,9,,,7,7,1,41.149597167969,-8.6109924316406,-1,
R_T0h6dn68B87KNGx,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 10:08:11,2017-03-29 10:15:31,1,423182,1,1,1,1,1,3,,541,4,8,8,,,7,7,1,41.149597167969,-8.6109924316406,-1,
R_2CJHB8gufNPpEPQ,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 10:14:45,2017-03-29 10:16:12,1,423505,0,0,1,1,,,,,,,,,3,2,6,1,41.149597167969,-8.6109924316406,-1,
R_Z1ATjjWCHRZIi65,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 10:13:33,2017-03-29 10:19:08,1,423651,1,1,1,1,1,5,,552,4,8,7,,,7,8,1,41.149597167969,-8.6109924316406,-1,
R_2D8ruv9ZYb1vwaQ,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 10:17:47,2017-03-29 10:20:42,1,423322,1,0,1,1,1,,4,600,1,7,4,,,6,8,1,41.149597167969,-8.6109924316406,-1,
R_2f2q7lDUXKm5kmg,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 10:20:45,2017-03-29 10:22:14,1,423249,0,1,1,1,,,,,,,,3,,8,8,1,41.149597167969,-8.6109924316406,-1,
R_1FzVgwODgfAjl2V,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 10:21:02,2017-03-29 10:22:41,1,423025,0,1,1,1,,,,,,,,5,,9,7,1,41.149597167969,-8.6109924316406,-1,
R_2CqDYVUr4n9XR2Y,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 10:22:47,2017-03-29 10:25:28,1,423469,1,0,1,1,1,,4,200,1,7,7,,,8,8,1,41.149597167969,-8.6109924316406,-1,
R_1nVIM8H2N4ihOVM,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 10:24:32,2017-03-29 10:25:42,1,423790,0,0,1,1,,,,,,,,,3,8,9,1,41.149597167969,-8.6109924316406,-1,
R_1ogU0opoe5EG3K7,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 10:28:46,2017-03-29 10:30:11,1,423628,0,0,1,1,,,,,,,,,5,8,10,1,41.149597167969,-8.6109924316406,-1,
R_3pnkonXU1ItdRHr,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 10:28:34,2017-03-29 10:32:30,1,423599,1,1,1,1,1,8,,527,3,9,9,,,6,8,1,41.149597167969,-8.6109924316406,-1,
R_2WU7yPUPd80nuax,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 10:30:54,2017-03-29 10:36:21,1,423232,1,0,1,1,1,,5,504,1,8,8,,,6,7,1,41.149597167969,-8.6109924316406,-1,
R_3MaHl57gsCNDIui,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 10:33:23,2017-03-29 10:37:36,1,423214,1,1,1,1,1,5,,519,6,9,10,,,10,8,1,41.149597167969,-8.6109924316406,-1,
R_Y6pHHuDe5yk9rRn,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 10:36:11,2017-03-29 10:39:25,1,423521,0,1,1,1,,,,,,,,2,,5,6,1,41.149597167969,-8.6109924316406,-1,
R_3lRAaOAhCJncVZJ,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 10:39:34,2017-03-29 10:41:09,1,423863,0,0,1,1,,,,,,,,,10,6,2,1,41.149597167969,-8.6109924316406,-1,
R_2yrym3cAJPalgqt,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 10:42:59,2017-03-29 10:47:27,1,423821,1,1,1,1,1,5,,546,1,7,8,,,3,6,1,41.149597167969,-8.6109924316406,-1,
R_3O1H4dQSomJoDKC,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 10:51:00,2017-03-29 10:52:30,1,423674,0,1,1,1,,,,,,,,6,,5,4,1,41.149597167969,-8.6109924316406,-1,
R_2DUh0thoyCPXT4x,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 10:50:49,2017-03-29 10:52:34,1,423739,0,1,1,1,,,,,,,,4,,5,9,1,41.149597167969,-8.6109924316406,-1,
R_bdBth5ZtcILxy7L,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 10:50:45,2017-03-29 10:55:20,1,423723,1,0,1,1,1,,3,558,1,5,8,,,6,6,1,41.149597167969,-8.6109924316406,-1,
R_3jfbhjdUh7xetBU,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 10:56:17,2017-03-29 10:57:53,1,423654,0,0,1,1,,,,,,,,,5,8,7,1,41.149597167969,-8.6109924316406,-1,
R_3iR3zpJdIOWU9gr,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 10:56:05,2017-03-29 11:01:18,1,423046,1,0,1,1,1,,3,561,0,9,9,,,7,8,1,41.149597167969,-8.6109924316406,-1,
R_2EmVRsEB4Jmq9K3,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 11:00:52,2017-03-29 11:02:59,1,423261,0,0,1,1,,,,,,,,,1,3,7,1,41.149597167969,-8.6109924316406,-1,
R_1MXRQ6Y6Dk6cxD0,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 10:58:23,2017-03-29 11:03:12,1,423473,1,1,1,1,1,6,,548,1,7,7,,,8,6,1,41.149597167969,-8.6109924316406,-1,
R_8cYxsYZ8AzFSa2J,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 11:02:36,2017-03-29 11:04:14,1,423586,0,1,1,1,,,,,,,,8,,10,8,1,41.149597167969,-8.6109924316406,-1,
R_33g1Db13xxGxzE5,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 11:05:35,2017-03-29 11:09:29,1,423698,1,1,1,1,1,2,,558,0,10,9,,,9,5,1,41.149597167969,-8.6109924316406,-1,
R_siL8yuB48Esml3P,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 11:05:47,2017-03-29 11:10:34,1,423081,1,0,1,1,1,,6,559,6,9,9,,,7,6,1,41.149597167969,-8.6109924316406,-1,
R_3lKylM2sI5A1UjA,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 11:08:21,2017-03-29 11:12:42,1,423322,1,0,1,1,1,,5,555,2,6,5,,,8,9,1,41.149597167969,-8.6109924316406,-1,
R_3MRRSxQArTnmHEy,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 11:10:12,2017-03-29 11:13:26,1,423495,0,0,1,1,,,,,,,,,4,9,9,1,41.149597167969,-8.6109924316406,-1,
R_42uvEbraEDaF5QJ,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 11:11:02,2017-03-29 11:14:18,1,423578,0,1,1,1,,,,,,,,4,,4,10,1,41.149597167969,-8.6109924316406,-1,
R_1gMajVHOgeaRJFz,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 11:13:21,2017-03-29 11:17:39,1,423385,1,1,1,1,1,9,,540,5,8,10,,,5,6,1,41.149597167969,-8.6109924316406,-1,
R_3QKw0tIy37fHP5n,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 11:14:46,2017-03-29 11:19:23,1,423011,0,1,1,1,,,,,,,,7,,5,8,1,41.149597167969,-8.6109924316406,-1,
R_2tJttmwNMgdrKWb,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 11:18:06,2017-03-29 11:20:46,1,423973,0,0,1,1,,,,,,,,,5,6,6,1,41.149597167969,-8.6109924316406,-1,
R_33DBZ7UymIi7x7N,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 11:20:59,2017-03-29 11:23:09,1,423033,1,0,1,1,1,,9,558,1,10,10,,,0,10,1,41.149597167969,-8.6109924316406,-1,
R_pQb3bvK4eop6EjT,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 11:23:31,2017-03-29 11:26:22,1,423380,0,1,1,1,,,,,,,,5,,5,3,1,41.149597167969,-8.6109924316406,-1,
R_1r2oSQaJSusDLqR,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 11:19:54,2017-03-29 11:30:22,1,423021,0,0,1,1,,,,,,,,,3,6,9,1,41.149597167969,-8.6109924316406,-1,
R_2aFS74gcr7aTQX2,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 11:27:43,2017-03-29 11:30:37,1,423048,1,1,1,1,1,5,,546,6,10,10,,,7,4,1,41.149597167969,-8.6109924316406,-1,
R_2q2ZYmqIvHBd7Sy,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 11:31:04,2017-03-29 11:36:13,1,423631,0,1,1,1,,,,,,,,1,,4,7,1,41.149597167969,-8.6109924316406,-1,
R_3noA5bxKnKnYFgi,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 11:30:54,2017-03-29 11:37:39,1,423184,1,0,1,1,1,,1,433,0,8,7,,,7,4,1,41.149597167969,-8.6109924316406,-1,
R_1IN8STpj1Id41Ba,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 11:22:01,2017-03-29 11:42:48,1,423478,0,0,1,1,,,,,,,,,2,9,5,1,41.149597167969,-8.6109924316406,-1,
R_28CkLUdxsZv4raP,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 11:37:20,2017-03-29 11:43:23,1,423208,1,1,1,1,1,1,,497,4,3,3,,,8,9,1,41.149597167969,-8.6109924316406,-1,
R_1l49bb7BWIzoByQ,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 11:38:14,2017-03-29 11:46:01,1,423362,1,0,1,1,1,,0,557,2,10,10,,,5,6,1,41.149597167969,-8.6109924316406,-1,
R_3eaSZWg3z4MzpHj,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-29 11:13:42,2017-03-29 11:19:00,0,423199,1,1,1,1,1,6,,,,,,,,,,,,,-1,
