a,mTurkCode,V8,V9,V10,,Cognitive load,Had read,Q1,Q2_1,Q3,Q4_1,Q6,Q7_1,Q8,Q9_1,Q11_1,Q14_1,Q13
R_YXNheOmPG5WGoKt,4230521,3/10/17 15:07,3/10/17 16:11,1,,0,0,,,,,,,,,,4,
R_27wiw8OS0k4z9JK,4239405,3/10/17 15:06,3/10/17 16:12,1,,0,1,,,,,,,,,0,,
R_Z8gZpQEa9gRoBkl,4233150,3/10/17 15:06,3/10/17 16:13,1,,1,1,1,1,546,4,,,,,,,
R_2fINNZEPzhAOH74,4235392,3/10/17 16:19,3/10/17 16:48,1,,0,0,,,,,,,,,,1,
R_1ogSVCedNZxxyge,4230478,3/10/17 16:19,3/10/17 16:49,1,,1,1,1,7,549,5,,,,,,,
R_1gpSWkQm1wYsoCA,4232846,3/10/17 16:47,3/10/17 16:52,1,,1,0,,,,,1,3,552,2,,,
R_4NNEYHqG6DUyZq1,4233980,3/15/17 15:52,3/15/17 16:17,1,,0,1,,,,,,,,,1,,
R_3JLwVuYQGJ4OjdE,4232016,3/15/17 15:49,3/15/17 16:18,1,,1,1,1,1,519,4,,,,,,,
R_10Tbqw3kVz59COi,4230599,3/15/17 15:48,3/15/17 16:19,1,,1,0,,,,,1,5,474,4,,,
R_stnBogVohJf7FT3,4237914,3/15/17 16:23,3/15/17 17:21,1,,1,0,,,,,1,7,500,2,,,
R_1C1liIPGbH9nVXn,4238353,3/15/17 16:24,3/15/17 17:22,1,,1,0,,,,,1,2,523,5,,,
R_2SuDRrwEaGrAPPA,4235954,3/15/17 16:24,3/15/17 17:22,1,,1,0,,,,,1,1,564,0,,,
R_OO6lF5DEEvdDr4R,4233829,3/16/17 13:12,3/16/17 13:12,1,,0,1,,,,,,,,,3,,
R_qwSKrlc9xxlM2bL,4232613,3/16/17 13:38,3/16/17 13:38,1,,0,0,,,,,,,,,,5,
R_1BQJkajNNzfzLAI,4236713,3/16/17 13:38,3/16/17 13:38,1,,0,0,,,,,,,,,,2,
R_bvf9Ac9VQTOXo4h,4232910,3/16/17 13:38,3/16/17 13:39,1,,0,0,,,,,,,,,,1,
R_24uQENKdYkG9YqH,4232055,3/16/17 13:38,3/16/17 13:39,1,,0,1,,,,,,,,,1,,
R_11aUROIZ4wwURYT,4231103,3/16/17 13:38,3/16/17 13:39,1,,1,0,,,,,1,1,1,5,,,
R_10D9Lg5fVZviML4,4238479,3/16/17 13:38,3/16/17 13:39,1,,0,1,,,,,,,,,0,,
R_2xJHajb823lax3L,4233873,3/16/17 13:38,3/16/17 13:40,1,,1,0,,,,,1,5,540,2,,,Very hard.
R_1dy40lnBGlTIEUv,4231889,3/16/17 13:38,3/16/17 13:42,1,,1,1,1,1,549,2,,,,,,,Very interesting
R_3MlLFZxwzGiRwBM,4232312,3/17/17 11:32,3/17/17 11:33,1,,0,1,,,,,,,,,6,,
R_pzXd3GBsw2aogLf,4238653,3/17/17 11:33,3/17/17 11:34,1,,1,0,,,,,1,1,532,1,,,
R_3fl3xGz0Ihu3Msx,4232571,3/17/17 11:30,3/17/17 11:35,1,,1,1,1,1,496,0,,,,,,,
R_1Egpl3vEdbIxBJF,4232606,3/17/17 11:33,3/17/17 11:38,1,,1,0,,,,,1,7,474,2,,,
R_2xxEZD7eZxZ5tv1,4231604,3/17/17 12:51,3/17/17 12:52,1,,1,1,1,1,564,1,,,,,,,
R_2c2cfitw5LudZtm,4236224,3/17/17 12:51,3/17/17 12:53,1,,1,1,1,4,546,5,,,,,,,
R_3FLL7Y7Bmtgwpjv,4234567,3/17/17 12:54,3/17/17 12:54,1,,0,0,,,,,,,,,,3,
R_1jf6kJ0NDKfUwZQ,4239869,3/17/17 12:54,3/17/17 12:55,1,,0,1,,,,,,,,,2,,a little longer waiting between different studies
R_0rLVEKMvgMM2QFz,4236735,3/17/17 12:53,3/17/17 12:55,1,,1,0,,,,,1,1,564,3,,,
R_32QLIIIA7IWfA09,4238574,3/17/17 12:53,3/17/17 12:55,1,,0,1,,,,,,,,,1,,
R_AdEY46qwkH0YptD,4236586,3/17/17 12:56,3/17/17 12:57,1,,0,1,,,,,,,,,1,,
R_2aftj0GvRtQ3mr8,4239803,3/17/17 12:56,3/17/17 12:58,1,,0,0,,,,,,,,,,2,
R_3maY5AScekcC4AJ,4237817,3/17/17 14:07,3/17/17 14:08,1,,0,0,,,,,,,,,,1,
R_29cW11KBZwpVwYL,4236835,3/17/17 14:08,3/17/17 14:10,1,,1,0,,,,,1,3,520,0,,,
R_3huaUmiZbBG3dSB,4230311,3/17/17 14:09,3/17/17 14:10,1,,0,1,,,,,,,,,1,,
R_22zzrKr1spc3cZA,4232450,3/17/17 14:09,3/17/17 14:10,1,,0,1,,,,,,,,,3,,
R_22J3XBbvna9oMIr,4235135,3/17/17 14:09,3/17/17 14:11,1,,1,0,,,,,1,1,550,0,,,
R_6ESoyw1Pru39dE5,4239728,3/17/17 14:08,3/17/17 14:11,1,,1,1,1,4,544,3,,,,,,,THIS WAS SO HARD :O I now know that I am horrible at counting backwards in increments of 3! 
R_9FGlZmiQYGjmdbP,4239203,3/17/17 14:09,3/17/17 14:12,1,,1,0,,,,,1,1,555,2,,,"The reading and counting task was very hard and was very easy to lose track. Therefore, I found it hard to do both at once. "
R_1ILRUBDMqlnaE1P,4238904,3/17/17 14:13,3/17/17 14:15,1,,0,1,,,,,,,,,4,,"Was the first part of the study  regarding the two people studying about Implicit Bias on people? Like first impression bias, the halo effect, and things like that?"
R_3G9Uv9uXDG5zLfV,4236120,3/17/17 15:16,3/17/17 15:17,1,,0,1,,,,,,,,,1,,
R_2tE8PefhsQCtyix,4234084,3/17/17 15:16,3/17/17 15:18,1,,1,0,,,,,1,5,564,0,,,
R_reAWQcgb3y3TUZP,4238945,3/17/17 15:18,3/17/17 15:20,1,,0,1,,,,,,,,,2,,
R_tSeRw2z4cIgmZ6p,4233117,3/17/17 14:54,3/17/17 15:20,1,,0,1,,,,,,,,,0,,
R_1lmfLR9O56SPEHq,4234463,3/17/17 15:10,3/17/17 15:21,1,,0,1,,,,,,,,,2,,
R_1lyIw0Zeed1zzmE,4238393,3/17/17 14:56,3/17/17 15:21,1,,1,1,1,3,518,3,,,,,,,
R_XLJeKysKsp7neHn,4230294,3/17/17 15:20,3/17/17 15:21,1,,0,1,,,,,,,,,2,,
R_21BYZ1YKtWdVEaT,4230362,3/17/17 15:16,3/17/17 15:21,1,,1,1,1,7,500,4,,,,,,,
R_rkwCG5WNvab0Bxf,4234001,3/17/17 15:21,3/17/17 15:23,1,,0,1,,,,,,,,,3,,More likely to get called on when sitting in the front or seeming extremely disengaged
R_10GdYIMT7FiHJq0,4232879,3/17/17 15:24,3/17/17 15:43,1,,0,0,,,,,,,,,,2,
R_cZ1Ka3MCvvw9MVH,4238935,3/17/17 15:24,3/17/17 15:44,1,,0,1,,,,,,,,,8,,I really like the section that set for us! Thank you!
R_bykljdda80Rtirn,4230749,3/17/17 15:24,3/17/17 15:46,1,,0,0,,,,,,,,,,2,
R_1DGzOdIGfq1HlNz,4236135,3/17/17 11:30,3/17/17 11:47,0,,0,0,,,,,,,,,,,
R_ypRjmE5hMrL8htT,4238106,3/17/17 16:04,3/17/17 16:14,1,,0,0,,,,,,,,,,4,I hope to learn more about what the study is about and connecting the dots between the different activities and surveys.
R_3ptpxm7BbI2SDRc,4232620,3/17/17 15:54,3/17/17 16:16,1,,1,1,1,1,53,2,,,,,,,
R_2TGDhMVqrhrVTVh,4238701,3/17/17 15:53,3/17/17 16:17,1,,1,0,,,,,1,7,540,1,,,multi-task is difficult
R_2f3sBj53zZjmWdl,4237399,3/17/17 16:27,3/17/17 16:28,1,,0,1,,,,,,,,,4,,
R_1GE6qL7rJjX2s64,4234936,3/17/17 16:29,3/17/17 16:29,1,,0,0,,,,,,,,,,1,
R_3IRHjnrNz5677CP,4234935,3/17/17 16:29,3/17/17 16:29,1,,0,0,,,,,,,,,,0,
R_1DUqCnzuWPg00BR,4231549,3/17/17 16:28,3/17/17 16:30,1,,1,0,,,,,1,9,532,4,,,
R_1pJxBUnFt7camly,4230318,3/17/17 16:28,3/17/17 16:30,1,,1,1,1,2,534,4,,,,,,,
R_3pm3re2Pmj4uNj5,4234234,3/22/17 15:37,3/22/17 16:14,1,,0,0,,,,,,,,,,2,very interesting
R_3lVLdOv9zAvSZ6S,4234463,3/22/17 16:14,3/22/17 16:16,1,,1,0,,,,,1,2,261,1,,,
R_1i8SPqgMENK8I1U,4235033,3/22/17 15:38,3/22/17 16:16,1,,1,0,,,,,1,1,552,1,,,
R_3R3AvHX5ZrCJim5,4239463,3/22/17 16:18,3/22/17 16:41,1,,0,0,,,,,,,,,,1,
R_3paqPmpV0hM3X5a,4236057,3/22/17 16:18,3/22/17 16:42,1,,1,1,1,0,528,1,,,,,,,
R_1F95X7Nrw9FV8Hd,4235215,3/22/17 16:18,3/22/17 16:42,1,,0,0,,,,,,,,,,0,I'm drawing from previous experience.
R_22m4hcr0WnSaKJ5,4233793,3/22/17 16:46,3/22/17 17:19,1,,0,0,,,,,,,,,,6,
R_1EiIYpWzMnQRY9L,4234048,3/22/17 16:46,3/22/17 17:19,1,,0,1,,,,,,,,,1,,
R_1qb0Rmj2WPkQah3,4232382,3/22/17 16:46,3/22/17 17:22,1,,0,1,,,,,,,,,3,,
R_1k2kix0QDeQFzoZ,4231101,3/24/17 14:59,3/24/17 15:17,1,,0,0,,,,,,,,,,0,
R_1qXvpK0XwAGFxId,4233795,3/24/17 14:56,3/24/17 15:18,1,,1,0,,,,,1,7,7,5,,,
R_26alNhpnSvkmjwn,4235353,3/24/17 15:16,3/24/17 15:19,1,,1,0,,,,,1,5,553,2,,,
R_2DZT3IL8ltpTqoI,4232828,3/24/17 15:36,3/24/17 16:08,1,,0,1,,,,,,,,,0,,
R_11aPGctLepBkt29,4230010,3/24/17 15:36,3/24/17 16:22,1,,1,1,1,0,501,0,,,,,,,
R_1DBibECZvj64afr,4232060,3/24/17 15:35,3/24/17 16:24,1,,0,0,,,,,,,,,,6,
R_PtYcMYWtg7PhzTH,4232713,3/24/17 16:27,3/24/17 16:45,1,,0,0,,,,,,,,,,0,
R_2e2xDwt25G6B35U,4231111,3/24/17 16:27,3/24/17 16:45,1,,0,1,,,,,,,,,7,,
R_3LdwteGFzqjo89u,4234115,3/24/17 16:27,3/24/17 16:46,1,,1,0,,,,,1,1,531,0,,,
R_2rjeH4XckwUyrK5,4238269,4/4/17 11:33,4/4/17 11:35,1,,1,1,1,7,518,3,,,,,,,
R_6G2QIAJZbyIh4RP,4231051,4/4/17 11:33,4/4/17 11:36,1,,1,1,1,7,520,3,,,,,,,Paying attention to the details in the reading (ex. where the student was sitting) was a lot harder to remember than the generic info because of the counting.
R_3n0joeLrv6ru5QW,4230107,4/4/17 11:38,4/4/17 11:42,1,,1,1,1,1,507,3,,,,,,,
R_1MM9DBnbm0rMIgZ,4236200,4/4/17 13:00,4/4/17 13:00,1,,0,0,,,,,,,,,,2,
R_3CPjJlf2ImaXT5J,4234593,4/4/17 12:59,4/4/17 13:00,1,,0,0,,,,,,,,,,3,
R_2wjbE5kahjwnrNf,4234652,4/4/17 12:59,4/4/17 13:01,1,,0,0,,,,,,,,,,3,
R_1gOBHRVP2u5pOOv,4232345,4/4/17 12:58,4/4/17 13:01,1,,1,1,1,3,531,4,,,,,,,Reading is easier than counting backwards so I let that be more on autopilot
R_z1qdO8qgaC4onbb,4237938,4/4/17 13:00,4/4/17 13:02,1,,0,0,,,,,,,,,,0,
R_3ktgRaDl1CjZoZI,4236805,4/4/17 16:02,4/4/17 16:04,1,,0,0,,,,,,,,,,7,
R_21yoSvTm4gEJfhf,4238723,4/4/17 16:02,4/4/17 16:04,1,,1,1,1,5,561,0,,,,,,,
R_3fP0PbVHhHfOgrE,4235521,4/4/17 16:04,4/4/17 16:05,1,,0,1,,,,,,,,,2,,
R_2EbKa7TEmqT2eak,4231977,4/4/17 16:04,4/4/17 16:06,1,,1,1,1,5,11,4,,,,,,,no
R_ZI8hX8YXHM1cxAB,4230172,4/5/17 14:56,4/5/17 14:57,1,,0,1,,,,,,,,,1,,
R_3L74RSnFAh7RoqF,4234730,4/5/17 14:55,4/5/17 14:57,1,,1,0,,,,,1,1,3,1,,,
R_8vIKygfge9hCB21,4236103,4/5/17 15:28,4/5/17 15:42,1,,1,0,,,,,1,1,531,4,,,
R_1DFQ1vAn7hJSZAh,4239413,4/5/17 15:27,4/5/17 15:42,1,,0,0,,,,,,,,,,1,nope
R_vN2ceJYYRhi71Kx,4232123,4/5/17 15:27,4/5/17 15:43,1,,1,0,,,,,1,3,561,1,,,
R_2qEl2fyHJ5wC5tR,4238290,4/5/17 15:47,4/5/17 16:16,1,,0,1,,,,,,,,,5,,
R_3hbaIv2cTgUm63n,4233180,4/5/17 15:48,4/5/17 16:17,1,,1,0,,,,,1,1,4,6,,,
R_24FNCYbIKGGIy0u,4232325,4/5/17 15:47,4/5/17 16:18,1,,1,0,,,,,1,6,552,5,,,
R_2zwfHdUrIlglOwA,4239095,4/5/17 16:25,4/5/17 16:25,1,,0,1,,,,,,,,,4,,
R_1gtoJurM4NggpMS,4232234,4/5/17 16:28,4/5/17 16:28,1,,0,1,,,,,,,,,5,,
R_1FqucPJ1D2RaiKl,4237512,4/5/17 16:25,4/5/17 16:29,1,,1,0,,,,,1,5,550,3,,,
R_2dK14pF9W4usLaj,4235576,4/5/17 16:25,4/5/17 16:29,1,,1,1,1,0,550,0,,,,,,,
R_2c7REuTcDQ7iE96,4231594,4/5/17 16:59,4/5/17 17:15,1,,1,0,,,,,1,1,564,1,,,
R_2TRwTdv8z7B7uxj,4232645,4/5/17 16:59,4/5/17 17:16,1,,0,1,,,,,,,,,1,,
R_3HSPy6OmMuGDYUD,4235293,4/5/17 16:59,4/5/17 17:16,1,,1,1,1,5,34,1,,,,,,,None
R_9RbBe9BnbXS5HiN,4236626,4/5/17 17:21,4/5/17 17:46,1,,1,1,1,8,543,1,,,,,,,"I started counting and then lost count once I started reading so then by the end of the paragraph, my attention went from counting to reading. "
R_1NanvfeJegVfWhx,4233977,4/5/17 17:21,4/5/17 17:47,1,,1,1,1,5,537,0,,,,,,,
R_vN1LiCc634gbbtT,4236007,4/5/17 17:21,4/5/17 17:48,1,,1,1,1,2,561,1,,,,,,,I cant count and read at the same time 
R_10Yh9Xg7lmGzFMV,4238366,4/6/17 13:33,4/6/17 13:35,1,,0,0,,,,,,,,,,1,
R_2tDu1bgkTY2sjuL,4234061,4/6/17 13:34,4/6/17 13:35,1,,0,0,,,,,,,,,,1,
R_2TuEYR0lGGXc8P7,4237636,4/6/17 13:33,4/6/17 13:35,1,,0,0,,,,,,,,,,2,
R_OkeL5hUAKZcBWVz,4239693,4/6/17 13:35,4/6/17 13:38,1,,0,0,,,,,,,,,,1,
R_1OPjt5VH6PfADEf,4238027,4/7/17 14:37,4/7/17 14:49,1,,0,0,,,,,,,,,,6,no
R_3HC68oAqxvJI11Z,4233665,4/7/17 14:34,4/7/17 14:50,1,,0,1,,,,,,,,,2,,
R_1gT8kxRv1F8fLOq,4233706,4/7/17 14:33,4/7/17 14:52,1,,1,0,,,,,1,0,543,4,,,
R_1P5kXcyOeXC8hhx,4238124,4/7/17 14:53,4/7/17 15:19,1,,0,0,,,,,,,,,,2,
R_1f0Nw9SQsGTmVmA,4239360,4/7/17 15:05,4/7/17 15:22,1,,1,0,,,,,1,1,504,3,,,No comments.
R_2b2lebFOYewdEz2,4233944,4/7/17 15:01,4/7/17 15:24,1,,1,1,1,8,558,1,,,,,,,
R_dncJ16XJognKFBT,4237103,4/7/17 15:31,4/7/17 15:50,1,,0,1,,,,,,,,,1,,
R_RKVruMFOtKmYEnv,4235679,4/7/17 15:32,4/7/17 15:51,1,,0,1,,,,,,,,,6,,
R_Rss1rFaVnRx2yFX,4230141,4/7/17 15:36,4/7/17 15:51,1,,0,1,,,,,,,,,5,,
R_3EckqTkY9vrRwWW,4232284,4/7/17 16:07,4/7/17 16:21,1,,0,1,,,,,,,,,2,,
R_10UzJTAT32K1N0T,4237920,4/7/17 16:08,4/7/17 16:23,1,,1,0,,,,,1,2,543,1,,,
R_207Fc3FPqsMaRGx,4232201,4/7/17 16:08,4/7/17 16:24,1,,1,1,1,4,550,3,,,,,,,
R_3L6Dk56zMqH3g5y,4235029,4/7/17 16:39,4/7/17 16:50,1,,0,0,,,,,,,,,,4,Thaank you!
R_3mged4XHSDnAr3s,4238421,4/7/17 16:39,4/7/17 16:51,1,,0,0,,,,,,,,,,2,I enjoyed the study
R_3JlpQQViveVC2Rq,4239690,4/7/17 16:37,4/7/17 16:52,1,,1,0,,,,,1,2,520,0,,,
R_1DSash7YJJzg5De,4236199,4/10/17 11:59,4/10/17 12:00,1,,0,1,,,,,,,,,1,,
R_11cQkWu9wNsrzEd,4237102,4/10/17 12:00,4/10/17 12:03,1,,0,0,,,,,,,,,,0,
R_xsgx6IyJvJYMcKt,4233759,4/10/17 12:03,4/10/17 12:03,1,,1,1,1,2,534,3,,,,,,,No comments
R_28IMhYue6NpNgHs,4239470,4/10/17 12:03,4/10/17 12:04,1,,0,0,,,,,,,,,,6,Do not make eye contacts with the professor at this moment.
R_3q7oiNUqhCswHgV,4234217,4/10/17 12:02,4/10/17 12:07,1,,1,1,1,7,541,2,,,,,,,It was definitely challenging to receive information and attempt to process unrelated information simultaneously. 
R_1q4Ka37wFZsBtOs,4234305,4/11/17 16:02,4/11/17 16:03,1,,0,0,,,,,,,,,,0,
R_32RYyhXuMBI0sEw,4233464,4/11/17 16:02,4/11/17 16:04,1,,1,0,,,,,1,4,4,3,,,
R_3qgO7X8V4UofdNo,4231842,4/11/17 16:02,4/11/17 16:05,1,,1,1,1,6,541,1,,,,,,,
R_12Av6MNTy3RBSSf,4232600,4/11/17 16:03,4/11/17 16:07,1,,1,1,1,6,504,1,,,,,,,
R_31t44A5VlNvOFAB,4234770,4/11/17 16:04,4/11/17 16:07,1,,1,0,,,,,1,3,555,0,,,
R_2eakZu0SPyupSMu,4239566,4/12/17 15:32,4/12/17 15:51,1,,0,0,,,,,,,,,,6,
R_1g5UEhoYRojDTrc,4236061,4/12/17 15:54,4/12/17 15:58,1,,0,1,,,,,,,,,1,,
R_3r2qmYzQPnhVjLD,4232056,4/12/17 15:46,4/12/17 16:00,1,,0,0,,,,,,,,,,2,None
R_32WMjHuMIs4S8p1,4230495,4/12/17 16:03,4/12/17 16:18,1,,1,1,1,1,514,1,,,,,,,
R_1EXMbQjADuucE4D,4233126,4/12/17 16:02,4/12/17 16:20,1,,0,1,,,,,,,,,3,,
R_1KiQLgJt2t4y7FN,4239859,4/12/17 16:03,4/12/17 16:20,1,,1,1,1,1,531,4,,,,,,,
R_3rSVGCApsG9Iw3h,4239300,4/12/17 16:30,4/12/17 16:45,1,,0,0,,,,,,,,,,1,
R_2s1jUkjTg2OgVTX,4230815,4/12/17 16:27,4/12/17 16:45,1,,0,0,,,,,,,,,,5,
R_3I3H2YJ7YcZw1q6,4235151,4/12/17 16:31,4/12/17 16:46,1,,1,0,,,,,1,4,549,1,,,
R_2rJwCz42tesMQjB,4231527,4/12/17 16:59,4/12/17 17:17,1,,0,0,,,,,,,,,,1,
R_56WJhhTec140U5r,4231558,4/12/17 17:01,4/12/17 17:18,1,,0,1,,,,,,,,,1,,
R_1HbKuHtdaiQpJFP,4236122,4/12/17 17:01,4/12/17 17:18,1,,0,0,,,,,,,,,,0,
R_vGNeR3hlecctj2N,4231830,4/12/17 17:33,4/12/17 17:48,1,,0,0,,,,,,,,,,1,
R_2wuHR4posUcnw1u,4233084,4/12/17 17:31,4/12/17 17:48,1,,1,0,,,,,1,2,540,2,,,I used my fingers to count so that my mind did not have to (as actively) count
R_3IPHfaL89JSCiGI,4233046,4/12/17 17:33,4/12/17 17:49,1,,1,1,1,4,548,1,,,,,,,It was extremely difficult for me to perform both tasks simultaneously 
R_21jsmEUA6WMgqYY,4236420,4/14/17 10:59,4/14/17 10:59,1,,0,1,,,,,,,,,4,,
R_3NC0yl9nVuCsl3s,4232406,4/14/17 10:59,4/14/17 11:00,1,,0,1,,,,,,,,,6,,
R_3EieyCAYfCFjLn1,4236302,4/14/17 10:59,4/14/17 11:00,1,,1,1,1,7,540,1,,,,,,,
R_1PTRLd5ChRBZwCE,4239290,4/14/17 10:59,4/14/17 11:01,1,,1,0,,,,,1,1,561,0,,,
R_es8xoIYnMF4u7TP,4235114,4/14/17 14:15,4/14/17 14:45,1,,0,0,,,,,,,,,,5,
R_22RFhRZUo480NS4,4235952,4/14/17 14:14,4/14/17 14:45,1,,0,1,,,,,,,,,1,,
R_sUaGXfc03syl9Pr,4235638,4/14/17 14:15,4/14/17 14:46,1,,0,0,,,,,,,,,,1,
R_3EG38NQqzlhL0Qw,4236039,4/14/17 14:58,4/14/17 15:15,1,,0,1,,,,,,,,,4,,
R_2TQPbL9glGLbtLb,4239070,4/14/17 14:58,4/14/17 15:15,1,,0,0,,,,,,,,,,2,
R_3HFVH69pHfC1Los,4232882,4/14/17 14:57,4/14/17 15:16,1,,1,1,1,5,543,1,,,,,,,Difficulty reading and counting simultaneously
R_3oGDqjOLReUZmGY,4239823,4/14/17 15:29,4/14/17 15:48,1,,0,1,,,,,,,,,1,,
R_23PaJ7Ncl0l6vyV,4233790,4/14/17 15:29,4/14/17 15:50,1,,1,1,1,1,540,3,,,,,,,I kept switching back and forth between the reading and the counting and don't believe I did either well...
R_2AYDhUKpqmiaDd1,4232336,4/14/17 16:01,4/14/17 16:47,1,,0,0,,,,,,,,,,1,
R_1hGaZQL6oIyVFCz,4233969,4/14/17 16:04,4/14/17 16:48,1,,1,0,,,,,1,1,525,4,,,
R_1mgdVSWCHPACRLl,4238281,4/14/17 16:03,4/14/17 16:50,1,,1,0,,,,,1,5,548,4,,,I do not believe I did either task very well or quickly.
R_3lX0UxCcysjqjl1,4237525,2/1/17 11:54,2/1/17 16:05,1,,0,0,,,,,,,,,,2,
R_2zzIQ9bpx0uPR3B,4235317,2/1/17 11:56,2/1/17 16:05,1,,0,1,,,,,,,,,2,,
R_W8SEDKg0fkSNCzD,4230367,2/1/17 11:55,2/1/17 16:05,1,,0,0,,,,,,,,,,6,
R_2ZTWxc7cJqgpg2W,4234596,2/1/17 12:01,2/1/17 16:05,1,,0,0,,,,,,,,,,0,
R_xgrLuAmf3FDOggN,4235106,2/1/17 11:50,2/1/17 16:05,1,,1,1,1,1,543,5,,,,,,,
R_3s4waYAznZRsngs,4232147,2/1/17 11:56,2/1/17 16:06,1,,0,0,,,,,,,,,,5,
R_3QFVVPIXN1ov2Dg,4233451,2/1/17 12:01,2/1/17 16:06,1,,1,0,,,,,1,6,528,5,,,
R_1I5Ewi0diQOOh0F,4230397,2/2/17 12:08,2/2/17 16:04,1,,0,1,,,,,,,,,5,,
R_11cDfN4JkeeN281,4236332,2/2/17 12:09,2/2/17 16:04,1,,0,1,,,,,,,,,2,,
R_2y3EhtihpEJuOTl,4235688,2/2/17 12:10,2/2/17 16:04,1,,0,1,,,,,,,,,1,,
R_0v1xdQHd2Qp1T5T,4234622,2/2/17 12:08,2/2/17 16:05,1,,0,1,,,,,,,,,1,,
R_32XAo1w6A2pfFcF,4231373,2/2/17 12:07,2/2/17 16:05,1,,0,0,,,,,,,,,,7,
R_3g7boWHjmZrAqE1,4231463,2/2/17 12:06,2/2/17 16:06,1,,1,0,,,,,1,5,534,1,,,
R_2y7KhwSQA473AGq,4238173,2/2/17 12:07,2/2/17 16:07,1,,1,0,,,,,1,5,525,3,,,
R_1pQJrowNKYwjZor,4239421,2/2/17 12:08,2/2/17 16:07,1,,1,0,,,,,1,1,492,1,,,
R_D1RNQ7jeBNruD3r,4231090,2/2/17 12:07,2/2/17 16:07,1,,1,0,,,,,1,2,540,2,,,
R_21Ht3z1wbPUcT4w,4238075,2/3/17 10:04,2/3/17 11:02,1,,0,0,,,,,,,,,,0,
R_2919BSwJExF8Ot7,4231225,2/3/17 10:03,2/3/17 11:02,1,,0,0,,,,,,,,,,2,
R_2PdHwt31Bm0skAY,4234380,2/3/17 10:04,2/3/17 11:03,1,,1,1,1,2,2,1,,,,,,,
R_2EiChp5a3DHK8Lc,4238666,2/3/17 10:03,2/3/17 11:06,1,,1,0,,,,,1,3,555,1,,,
R_wOhf0cXEbcVhK5r,4235136,2/3/17 10:03,2/3/17 11:44,1,,0,1,,,,,,,,,3,,
R_24nH2bJe9AAmtVJ,4238518,2/3/17 10:03,2/3/17 11:46,1,,1,1,1,5,549,1,,,,,,,
R_SYH0Ku2NfH9rQkh,4230325,2/3/17 11:29,2/3/17 12:29,1,,0,0,,,,,,,,,,2,
R_dg4utz13fkNaApP,4239945,2/3/17 10:02,2/3/17 12:31,1,,1,1,1,5,546,5,,,,,,,
