"WorkerID" "ValidCode" "Load" "Had.read" "Likelihood" "End.num" "Effort"
"61" "" 4232150 1 0 2 525 4
"62" "A1FC4FQNJ2X0D7" 4239481 1 1 2 519 5
"63" "" 4237636 1 1 3 513 5
"64" "" 4232165 0 0 1 NA NA
"65" "" 4233101 1 1 3 507 3
"66" "A2I27PKKB2CHYB" 4237601 0 1 1 NA NA
"67" "" 4237590 0 0 1 NA NA
"68" "" 4232204 0 1 0 NA NA
"69" "" 4238306 0 1 0 NA NA
"70" "A1TYJGYFWT0WXI" 4233189 0 0 5 NA NA
"71" "AZYY7HCITVKKX" 4232460 1 1 7 534 5
"72" "ARGRGZI2KTXPF" 4233154 1 1 1 501 3
"73" "" 4239841 1 0 1 531 4
"74" "" 4232718 0 0 1 NA NA
"75" "" 4230251 1 1 3 540 4
"76" "A2NZYXC3EE3TP8" 4233289 1 0 1 499 2
"77" "" 4233602 0 0 2 NA NA
"78" "" 4236129 0 1 1 NA NA
"79" "" 4234616 1 1 2 527 4
"80" "" 4233009 1 0 1 553 3
"81" "A2LKL4Q7B4MTCI" 4239072 0 1 3 NA NA
"82" "A8LJAGB5QZYWL" 4233920 0 1 4 NA NA
"83" "99999" 4239394 0 1 1 NA NA
"84" "A2QYRG8LRG66C3" 4230302 1 1 3 534 5
"85" "" 4236428 0 0 2 NA NA
"86" "99999" 4236879 1 0 5 546 3
"87" "A3O1L0034OG341" 4232366 1 0 2 516 5
"88" "A3PCYGS91UTBQ9" 4239590 0 1 0 NA NA
"89" "A1WACXWKES1S23" 4232667 0 0 2 NA NA
"90" "" 4233969 1 0 5 534 3
"91" "A31V6GV8MYV01N" 4230961 1 0 2 155 1
"92" "" 4237282 0 0 9 NA NA
"93" "AJ4CTSN2D3B63" 4232215 0 0 1 NA NA
"94" "99999" 4239652 0 0 7 NA NA
"95" "A1XHIW9XKDY0QD" 4232477 1 1 4 528 5
"96" "" 4237647 0 0 0 NA NA
"97" "" 4236881 0 0 1 NA NA
"98" "" 4231040 0 0 1 NA NA
"99" "" 4239773 0 0 2 NA NA
"100" "" 4232316 1 1 3 518 5
"101" "" 4232070 0 0 3 NA NA
"102" "" 4230415 0 0 3 NA NA
"103" "99999" 4235274 0 0 1 NA NA
"104" "" 4233323 1 0 8 600 6
"105" "" 4237307 0 0 1 NA NA
"106" "A1FTQQ80IWQ7V8" 4235880 1 0 2 537 5
"107" "" 4231428 0 1 2 NA NA
"108" "" 4230615 0 1 1 NA NA
"109" "99999" 4230158 1 1 5 548 4
"110" "" 4230947 0 1 2 NA NA
"111" "99999" 4231453 1 1 1 561 2
"112" "" 4230846 1 0 1 501 4
"113" "" 4238244 0 1 1 NA NA
"114" "" 4230235 1 1 1 522 2
"115" "" 4233431 0 1 3 NA NA
"116" "99999" 4233108 1 1 5 490 1
"117" "" 4234332 1 1 2 527 2
"118" "A19RO1A3ZIDR4L" 4231856 0 1 1 NA NA
"119" "" 4239581 1 1 4 534 2
"120" "" 4237179 0 0 1 NA NA
"121" "" 4235415 1 0 3 528 5
"122" "A21EEBURA5TT18" 4237287 0 0 2 NA NA
"123" "A1GYO6CJMVA9ZA" 4239552 1 0 9 561 2
"124" "99999" 4237221 1 0 5 533 5
"125" "A3T8J0PN3DLSTM" 4235856 0 0 3 NA NA
"126" "" 4232441 0 1 1 NA NA
"127" "99999" 4233200 1 1 5 528 4
"128" "99999" 4234620 0 0 2 NA NA
"129" "" 4231767 1 1 4 531 5
"130" "A1M7EEZGAOTRU1" 4232471 0 0 4 NA NA
"131" "" 4238499 1 0 1 561 1
"132" "A13PP95I89HW09" 4236678 1 0 1 543 3
"133" "A2CBRL3M0BSL1I" 4236124 1 0 6 519 4
"134" "A1QWMUQ9D553L0" 4231823 1 0 2 561 0
"135" "" 4235697 1 1 0 507 2
"136" "" 4233883 0 0 1 NA NA
"137" "" 4238138 0 0 2 NA NA
"138" "" 4230836 0 1 1 NA NA
"139" "A3MROAPFL6ZTEH" 4232283 1 1 4 546 4
"140" "A3G74S86FRIV5I" 4232615 1 0 5 555 4
"141" "99999" 4238656 0 0 6 NA NA
"142" "99999" 4234273 1 1 0 556 2
"143" "" 4233424 0 0 1 NA NA
"144" "99999" 4236746 1 1 1 545 3
"145" "" 4233559 0 1 1 NA NA
"146" "A2RNZB81PAILYO" 4238398 0 1 1 NA NA
"147" "" 4231710 0 0 8 NA NA
"148" "99999" 4236442 0 0 5 NA NA
"149" "" 4233041 0 0 2 NA NA
"150" "" 4230912 1 1 1 534 4
"151" "" 4230833 1 0 2 520 2
"152" "" 4235038 1 0 5 531 4
"153" "" 4234338 1 1 6 549 2
"154" "" 4234843 0 0 0 NA NA
"155" "" 4235908 1 0 6 537 4
"156" "A1LLUD5EEJ5KKU" 4232492 1 0 2 501 3
"157" "A239SB9EOXEQIZ" 4239070 0 1 2 NA NA
"158" "" 4231909 0 0 2 NA NA
"159" "" 4236820 1 1 3 519 3
"160" "" 4233986 0 1 4 NA NA
"161" "AFWLVJ55JGUTH" 4234761 1 0 7 525 5
"162" "" 4231694 0 0 1 NA NA
"163" "" 4232930 1 1 1 376 6
"164" "" 4232262 1 1 7 534 5
"165" "" 4234113 0 0 2 NA NA
"166" "" 4230981 1 1 5 538 4
"167" "99999" 4234997 1 0 2 456 1
"168" "" 4233401 0 1 6 NA NA
"169" "" 4233991 0 0 0 NA NA
"170" "" 4235110 1 1 2 516 2
"171" "A306KVPUYWI9N9" 4231168 1 1 5 531 6
"172" "" 4233427 1 0 2 534 4
"173" "" 4236703 0 0 1 NA NA
"174" "99999" 4232710 1 0 6 534 3
"175" "A1KR54XWOL9V5L" 4236199 1 1 8 531 6
"176" "" 4230862 1 0 1 546 5
"177" "" 4237205 1 0 3 482 5
"178" "99999" 4236276 0 1 1 NA NA
"179" "" 4237889 0 1 3 NA NA
"180" "AXWJ8VJGN0O4S" 4234673 1 0 5 396 5
"181" "" 4239132 0 1 7 NA NA
"182" "A191JZWDGUM0EB" 4235590 0 0 1 NA NA
"183" "" 4236783 1 0 5 531 4
"184" "ANZB5FHEVJERM" 4236025 0 1 3 NA NA
"185" "A3CBM1GZK2N2KN" 4239900 1 1 8 420 4
"186" "99999" 4230254 0 1 3 NA NA
"187" "" 4236605 0 0 3 NA NA
"188" "99999" 4239206 1 1 5 474 3
"189" "" 4232590 1 1 5 555 3
"190" "" 4230941 0 1 1 NA NA
"191" "" 4235323 1 1 3 6 4
"192" "" 4234835 0 0 3 NA NA
"193" "" 4230486 1 0 5 561 2
"194" "" 4233436 0 0 1 NA NA
"195" "A2RD2NKZZPIBG5" 4235480 1 1 1 555 1
"196" "A3OXXMLJ0OKPPH" 4237690 0 0 1 NA NA
"197" "A2TDE7HB1ZRVV8" 4233845 0 1 1 NA NA
"198" "" 4235106 1 0 4 501 3
"199" "" 4239379 0 1 2 NA NA
"200" "99999" 4233494 0 0 3 NA NA
"201" "99999" 4239735 1 0 5 546 2
"202" "99999" 4232675 1 1 6 483 3
"203" "" 4233176 0 1 0 NA NA
"204" "A381Z1UL388EB4" 4234735 0 0 4 NA NA
"205" "99999" 4234708 0 1 6 NA NA
"206" "" 4234453 1 0 8 531 3
"207" "99999" 4237686 0 0 0 NA NA
"208" "" 4232463 0 1 1 NA NA
"209" "99999" 4237934 1 0 7 507 5
"210" "99999" 4236869 0 0 6 NA NA
"211" "" 4238616 0 0 1 NA NA
"212" "" 4231305 0 0 5 NA NA
"213" "" 4238359 1 1 2 521 3
"214" "99999" 4233572 0 1 9 NA NA
"215" "" 4231863 0 1 3 NA NA
"216" "A2HP0S0J1UFWVD" 4236027 1 0 2 564 1
"217" "" 4238679 1 0 1 540 4
"218" "A3QRR4WZEX761Q" 4237028 0 0 3 NA NA
"219" "99999" 4231575 0 0 5 NA NA
"220" "99999" 4233228 0 0 1 NA NA
"221" "" 4230272 0 1 1 NA NA
"222" "A3D2YRPZZRF302" 4237240 0 1 7 NA NA
"223" "A2N8EGICI5THJ" 4239032 0 1 1 NA NA
"224" "" 4238293 0 1 4 NA NA
"225" "A1V9O789IPNOVZ" 4234190 0 0 6 NA NA
"226" "" 4230939 1 1 3 561 1
"227" "" 4239957 1 1 3 558 1
"228" "99999" 4230636 0 1 3 NA NA
"229" "99999" 4234413 0 0 1 NA NA
"230" "" 4232046 1 0 2 540 3
